ChargerId,RegDt,Send,msg,msgId
20A16E046B43,"2021-07-19 23:57:06",R,"   00 20 A1 6E 04 6B 43 15    15 0A 01 0A 09 00 00 00    00 33 02 41 42          ",286728000
20A16E046B43,"2021-07-19 23:57:07",S,"   00 20 A1 6E 04 6B 43 1A    D0 07 12 00 13 00 33 02    41 74                   ",286728010
20A16E046B43,"2021-07-19 23:58:06",R,"   00 20 A1 6E 04 6B 43 15    10 0A 01 0A 09 D4 19 03    00 33 02 42 56          ",286728477
20A16E046B43,"2021-07-19 23:58:07",S,"   00 20 A1 6E 04 6B 43 1A    BF 07 12 00 13 00 33 02    42 84                   ",286728484
20A16E046B43,"2021-07-20 00:07:06",R,"   00 20 A1 6E 04 6B 43 15    16 0A 01 0A 09 00 00 00    00 33 02 41 41          ",286733420
20A16E046B43,"2021-07-20 00:07:07",S,"   00 20 A1 6E 04 6B 43 1A    6E 07 12 00 13 00 33 02    41 D6                   ",286733431
20A16E046B43,"2021-07-20 00:08:06",R,"   00 20 A1 6E 04 6B 43 15    11 0A 01 0A 09 D4 19 03    00 33 02 42 55          ",286733898
20A16E046B43,"2021-07-20 00:08:07",S,"   00 20 A1 6E 04 6B 43 1A    5D 07 12 00 13 00 33 02    42 E6                   ",286733906
20A16E046B43,"2021-07-20 00:17:06",R,"   00 20 A1 6E 04 6B 43 15    17 0A 01 0A 09 00 00 00    00 33 02 41 40          ",286738855
20A16E046B43,"2021-07-20 00:17:07",S,"   00 20 A1 6E 04 6B 43 1A    16 07 12 00 13 00 33 02    41 2E                   ",286738866
20A16E046B43,"2021-07-20 00:18:06",R,"   00 20 A1 6E 04 6B 43 15    12 0A 01 0A 09 D4 19 03    00 33 02 42 54          ",286739341
20A16E046B43,"2021-07-20 00:18:07",S,"   00 20 A1 6E 04 6B 43 1A    09 07 12 00 13 00 33 02    42 3A                   ",286739348
20A16E046B43,"2021-07-20 00:27:06",R,"   00 20 A1 6E 04 6B 43 15    18 0A 01 0A 09 00 00 00    00 33 02 41 3F          ",286744207
20A16E046B43,"2021-07-20 00:27:07",S,"   00 20 A1 6E 04 6B 43 1A    8F 07 12 00 13 00 33 02    41 B5                   ",286744215
20A16E046B43,"2021-07-20 00:28:06",R,"   00 20 A1 6E 04 6B 43 15    13 0A 01 0A 09 D4 19 03    00 33 02 42 53          ",286744683
20A16E046B43,"2021-07-20 00:28:07",S,"   00 20 A1 6E 04 6B 43 1A    7C 07 12 00 13 00 33 02    42 C7                   ",286744690
20A16E046B43,"2021-07-20 00:37:06",R,"   00 20 A1 6E 04 6B 43 15    19 0A 01 0A 09 00 00 00    00 33 02 41 3E          ",286749529
20A16E046B43,"2021-07-20 00:37:07",S,"   00 20 A1 6E 04 6B 43 1A    F8 07 12 00 13 00 33 02    41 4C                   ",286749541
20A16E046B43,"2021-07-20 00:38:06",R,"   00 20 A1 6E 04 6B 43 15    14 0A 01 0A 09 D4 19 03    00 33 02 42 52          ",286749995
20A16E046B43,"2021-07-20 00:38:07",S,"   00 20 A1 6E 04 6B 43 1A    E0 07 12 00 13 00 33 02    42 63                   ",286750002
20A16E046B43,"2021-07-20 00:47:06",R,"   00 20 A1 6E 04 6B 43 15    1A 0A 01 0A 09 00 00 00    00 33 02 41 3D          ",286754916
20A16E046B43,"2021-07-20 00:47:07",S,"   00 20 A1 6E 04 6B 43 1A    8A 07 12 00 13 00 33 02    41 BA                   ",286754926
20A16E046B43,"2021-07-20 00:48:06",R,"   00 20 A1 6E 04 6B 43 15    15 0A 01 0A 09 D4 19 03    00 33 02 42 51          ",286755408
20A16E046B43,"2021-07-20 00:48:07",S,"   00 20 A1 6E 04 6B 43 1A    80 07 12 00 13 00 33 02    42 C3                   ",286755415
20A16E046B43,"2021-07-20 00:57:06",R,"   00 20 A1 6E 04 6B 43 15    1B 0A 01 0A 09 00 00 00    00 33 02 41 3C          ",286760284
20A16E046B43,"2021-07-20 00:57:07",S,"   00 20 A1 6E 04 6B 43 1A    0F 07 12 00 13 00 33 02    41 35                   ",286760293
20A16E046B43,"2021-07-20 00:58:06",R,"   00 20 A1 6E 04 6B 43 15    16 0A 01 0A 09 D4 19 03    00 33 02 42 50          ",286760750
20A16E046B43,"2021-07-20 00:58:07",S,"   00 20 A1 6E 04 6B 43 1A    F8 07 12 00 13 00 33 02    42 4B                   ",286760758
20A16E046B43,"2021-07-20 01:07:06",R,"   00 20 A1 6E 04 6B 43 15    1C 0A 01 0A 09 00 00 00    00 33 02 41 3B          ",286765592
20A16E046B43,"2021-07-20 01:07:07",S,"   00 20 A1 6E 04 6B 43 1A    73 07 12 00 13 00 33 02    41 D1                   ",286765600
20A16E046B43,"2021-07-20 01:08:06",R,"   00 20 A1 6E 04 6B 43 15    17 0A 01 0A 09 D4 19 03    00 33 02 42 4F          ",286766066
20A16E046B43,"2021-07-20 01:08:07",S,"   00 20 A1 6E 04 6B 43 1A    61 07 12 00 13 00 33 02    42 E2                   ",286766075
20A16E046B43,"2021-07-20 01:17:06",R,"   00 20 A1 6E 04 6B 43 15    1D 0A 01 0A 09 00 00 00    00 33 02 41 3A          ",286770945
20A16E046B43,"2021-07-20 01:17:07",S,"   00 20 A1 6E 04 6B 43 1A    F0 07 12 00 13 00 33 02    41 54                   ",286770954
20A16E046B43,"2021-07-20 01:18:06",R,"   00 20 A1 6E 04 6B 43 15    18 0A 01 0A 09 D4 19 03    00 33 02 42 4E          ",286771411
20A16E046B43,"2021-07-20 01:18:07",S,"   00 20 A1 6E 04 6B 43 1A    DA 07 12 00 13 00 33 02    42 69                   ",286771420
20A16E046B43,"2021-07-20 01:27:06",R,"   00 20 A1 6E 04 6B 43 15    1E 0A 01 0A 09 00 00 00    00 33 02 41 39          ",286776205
20A16E046B43,"2021-07-20 01:27:07",S,"   00 20 A1 6E 04 6B 43 1A    3A 07 12 00 13 00 33 02    41 0A                   ",286776214
