ChargerId,RegDt,Send,msg,msgId
D88039EC48E0,"2021-07-21 10:13:50",R,"   00 D8 80 39 EC 48 E0 00    14 22 0E 10 14 00 15 54    19 51 16 38 2E 34 37 00    23 10 33 01 8B          ",287818337
D88039EC48E0,"2021-07-21 10:13:51",S,"   00 D8 80 39 EC 48 E0 00    19 23 ED 15 21 00 37 40    09 77 22 01 26 99 13 34    12 00 13 00 33 03 78 03    78 4C                   ",287818342
D88039EC48E0,"2021-07-21 10:13:52",R,"   00 D8 80 39 EC 48 E0 00    0E 15 0F 0A 01 0A 09 00    00 00 00 33 03 78 10    ",287818348
D88039EC48E0,"2021-07-21 10:13:53",S,"   00 D8 80 39 EC 48 E0 00    0B 1A F4 07 12 00 13 00    33 03 78 18             ",287818358
D88039EC48E0,"2021-07-21 10:13:55",R,"   00 D8 80 39 EC 48 E0 00    0E 15 10 0A 01 0A 09 00    00 00 00 33 03 78 0F    ",287818380
D88039EC48E0,"2021-07-21 10:13:56",S,"   00 D8 80 39 EC 48 E0 00    0B 1A 05 07 12 00 13 00    33 03 78 07             ",287818392
D88039EC48E0,"2021-07-21 10:13:59",R,"   00 D8 80 39 EC 48 E0 00    0E 15 11 0A 01 0A 09 00    00 00 00 33 03 78 0E    ",287818430
D88039EC48E0,"2021-07-21 10:14:00",S,"   00 D8 80 39 EC 48 E0 00    0B 1A 1E 07 12 00 13 00    33 03 78 EE             ",287818444
D88039EC48E0,"2021-07-21 10:15:03",R,"   00 D8 80 39 EC 48 E0 00    0E 15 12 0A 01 0B 09 00    00 00 00 33 03 78 0C    ",287819064
D88039EC48E0,"2021-07-21 10:15:04",S,"   00 D8 80 39 EC 48 E0 00    0B 1A 5B 07 12 00 13 00    33 03 78 B1             ",287819076
D88039EC48E0,"2021-07-21 10:15:35",R,"   00 D8 80 39 EC 48 E0 00    0E 15 13 0A 01 0A 09 00    00 00 00 33 03 78 0C    ",287819368
D88039EC48E0,"2021-07-21 10:15:36",S,"   00 D8 80 39 EC 48 E0 00    0B 1A F3 07 12 00 13 00    33 03 78 19             ",287819377
D88039EC48E0,"2021-07-21 10:15:36",R,"   00 D8 80 39 EC 48 E0 00    0E 15 14 0A 01 0B 09 00    00 00 00 33 03 78 0A    ",287819383
D88039EC48E0,"2021-07-21 10:15:37",S,"   00 D8 80 39 EC 48 E0 00    0B 1A FB 07 12 00 13 00    33 03 78 11             ",287819392
D88039EC48E0,"2021-07-21 10:15:47",R,"   00 D8 80 39 EC 48 E0 00    3A 26 15 36 01 0A 09 00    00 00 00 24 39 34 34 31    31 37 2A 2A 2A 2A 2A 2A    2A 2A 2A 2A 29 30 38 30    30 38 35 35 36 32 31 30    37 32 31 31 30 31 35 34    35 28 30 31 30 30 30 33    03 78 8C                ",287819471
D88039EC48E0,"2021-07-21 10:15:49",S,"   00 D8 80 39 EC 48 E0 00    0E 25 26 0A 09 00 00 00    00 25 00 33 03 78 CF    ",287819478
D88039EC48E0,"2021-07-21 10:16:06",R,"   00 D8 80 39 EC 48 E0 00    0E 15 16 0A 01 1C 09 00    00 00 00 33 03 78 F7    ",287819629
D88039EC48E0,"2021-07-21 10:16:07",S,"   00 D8 80 39 EC 48 E0 00    0B 1A 75 07 12 01 13 00    33 03 78 96             ",287819636
D88039EC48E0,"2021-07-21 10:16:08",S,"   00 D8 80 39 EC 48 E0 00    1A 05 79 16 09 02 20 03    00 18 00 20 00 98 C4 06    A8 C0 07 00 00 26 00 33    03 78 61                ",287819643
D88039EC48E0,"2021-07-21 10:16:31",R,"   00 D8 80 39 EC 48 E0 00    0E 15 17 0A 01 02 09 02    20 03 00 33 03 78 EB    ",287819834
D88039EC48E0,"2021-07-21 10:16:32",S,"   00 D8 80 39 EC 48 E0 00    0B 1A DE 07 12 00 13 00    33 03 78 2E             ",287819848
D88039EC48E0,"2021-07-21 10:16:33",R,"   00 D8 80 39 EC 48 E0 00    1C 16 18 18 02 00 00 03    07 A8 04 00 05 00 00 00    09 02 20 03 00 0A 00 00    01 33 03 78 16          ",287819862
D88039EC48E0,"2021-07-21 10:16:34",S,"   00 D8 80 39 EC 48 E0 00    15 1B ED 11 12 01 17 00    98 C4 13 00 28 20 20 20    20 30 33 03 78 C8       ",287819879
D88039EC48E0,"2021-07-21 10:17:02",R,"   00 D8 80 39 EC 48 E0 00    1C 16 19 18 02 48 A8 03    0F 0A 04 00 05 00 0B 54    09 02 20 03 00 0A 00 00    1F 33 03 78 3E          ",287820121
D88039EC48E0,"2021-07-21 10:17:03",S,"   00 D8 80 39 EC 48 E0 00    15 1B 6F 11 12 01 17 00    98 C4 13 00 28 20 20 20    37 34 33 03 78 2B       ",287820134
D88039EC48E0,"2021-07-21 10:17:17",R,"   00 D8 80 39 EC 48 E0 00    0E 15 1A 0A 01 02 09 02    20 03 00 33 03 78 E8    ",287820239
D88039EC48E0,"2021-07-21 10:17:18",S,"   00 D8 80 39 EC 48 E0 00    0B 1A A9 07 12 00 13 00    33 03 78 63             ",287820245
D88039EC48E0,"2021-07-21 10:17:44",R,"   00 D8 80 39 EC 48 E0 00    0E 15 1B 0A 01 0A 09 02    20 03 00 33 03 78 DF    ",287820466
D88039EC48E0,"2021-07-21 10:17:45",S,"   00 D8 80 39 EC 48 E0 00    0B 1A 1B 07 12 00 13 00    33 03 78 F1             ",287820476
D88039EC48E0,"2021-07-21 10:18:02",R,"   00 D8 80 39 EC 48 E0 00    0E 15 1C 0A 01 0B 09 02    20 03 00 33 03 78 DD    ",287820602
D88039EC48E0,"2021-07-21 10:18:03",S,"   00 D8 80 39 EC 48 E0 00    0B 1A 5D 07 12 00 13 00    33 03 78 AF             ",287820611
D88039EC48E0,"2021-07-21 10:18:12",R,"   00 D8 80 39 EC 48 E0 00    2A 24 1D 26 01 0A 09 02    20 03 00 24 31 30 31 30    30 31 30 31 38 32 32 31    39 34 37 37 27 FF FF FF    FF 28 FF FF FF FF FF 33    03 78 1C                ",287820693
D88039EC48E0,"2021-07-21 10:18:13",S,"   00 D8 80 39 EC 48 E0 00    0E 25 8E 0A 09 02 20 03    00 25 00 33 03 78 42    ",287820708
D88039EC48E0,"2021-07-21 10:18:21",R,"   00 D8 80 39 EC 48 E0 00    0E 15 1E 0A 01 1C 09 02    20 03 00 33 03 78 CA    ",287820776
D88039EC48E0,"2021-07-21 10:18:22",S,"   00 D8 80 39 EC 48 E0 00    0B 1A B4 07 12 01 13 00    33 03 78 57             ",287820783
D88039EC48E0,"2021-07-21 10:18:23",S,"   00 D8 80 39 EC 48 E0 00    1A 05 B8 16 09 03 20 03    00 18 00 20 2D C6 C0 06    A8 C0 07 00 00 26 00 33    03 78 CA                ",287820794
D88039EC48E0,"2021-07-21 10:18:45",R,"   00 D8 80 39 EC 48 E0 00    0E 15 1F 0A 01 02 09 03    20 03 00 33 03 78 E2    ",287820982
D88039EC48E0,"2021-07-21 10:18:46",S,"   00 D8 80 39 EC 48 E0 00    0B 1A 1E 07 12 00 13 00    33 03 78 EE             ",287820991
D88039EC48E0,"2021-07-21 10:18:47",R,"   00 D8 80 39 EC 48 E0 00    1C 16 20 18 02 00 00 03    0A 1E 04 00 05 00 00 00    09 03 20 03 00 0A 00 00    01 33 03 78 94          ",287821000
D88039EC48E0,"2021-07-21 10:18:48",S,"   00 D8 80 39 EC 48 E0 00    15 1B 27 11 12 01 17 2D    C6 C0 13 00 28 20 20 20    20 30 33 03 78 37       ",287821010
D88039EC48E0,"2021-07-21 10:18:53",R,"   00 D8 80 39 EC 48 E0 00    1C 16 21 18 02 03 E8 03    0E AF 04 00 05 00 00 C7    09 03 20 03 00 0A 00 00    08 33 03 78 45          ",287821048
D88039EC48E0,"2021-07-21 10:18:54",S,"   00 D8 80 39 EC 48 E0 00    15 1B 3E 11 12 01 17 2D    C6 C0 13 00 28 20 20 20    20 35 33 03 78 1B       ",287821060
D88039EC48E0,"2021-07-21 10:19:16",R,"   00 D8 80 39 EC 48 E0 00    1C 16 22 18 02 3C F0 03    0F 0A 04 00 05 00 0A EF    09 03 20 03 00 0A 00 00    1F 33 03 78 5E          ",287821236
D88039EC48E0,"2021-07-21 10:19:17",S,"   00 D8 80 39 EC 48 E0 00    15 1B 9E 11 12 01 17 2D    C6 C0 13 00 28 20 20 20    37 32 33 03 78 A7       ",287821246
D88039EC48E0,"2021-07-21 10:19:30",R,"   00 D8 80 39 EC 48 E0 00    0E 15 23 0A 01 02 09 03    20 03 00 33 03 78 DE    ",287821353
D88039EC48E0,"2021-07-21 10:19:31",S,"   00 D8 80 39 EC 48 E0 00    0B 1A DA 07 12 00 13 00    33 03 78 32             ",287821365
