ServerId,ChargerId,Length,MessageType,SequenceNumber,DataLength,DeviceStatus_type,DeviceStatus,AccessId_type,AccessId,ChargerNumber_type,ChargerNumber,RegDt,Send,msgId
00,D88039EC48E0,000E,15,0F,0A,01,0A,09,0,33,0378,2021-07-21 10:13:52,R,287818348
00,D88039EC48E0,000E,15,10,0A,01,0A,09,0,33,0378,2021-07-21 10:13:55,R,287818380
00,D88039EC48E0,000E,15,11,0A,01,0A,09,0,33,0378,2021-07-21 10:13:59,R,287818430
00,D88039EC48E0,000E,15,12,0A,01,0B,09,0,33,0378,2021-07-21 10:15:03,R,287819064
00,D88039EC48E0,000E,15,13,0A,01,0A,09,0,33,0378,2021-07-21 10:15:35,R,287819368
00,D88039EC48E0,000E,15,14,0A,01,0B,09,0,33,0378,2021-07-21 10:15:36,R,287819383
00,D88039EC48E0,000E,15,16,0A,01,1C,09,0,33,0378,2021-07-21 10:16:06,R,287819629
00,D88039EC48E0,000E,15,17,0A,01,02,09,35652352,33,0378,2021-07-21 10:16:31,R,287819834
00,D88039EC48E0,000E,15,1A,0A,01,02,09,35652352,33,0378,2021-07-21 10:17:17,R,287820239
00,D88039EC48E0,000E,15,1B,0A,01,0A,09,35652352,33,0378,2021-07-21 10:17:44,R,287820466
00,D88039EC48E0,000E,15,1C,0A,01,0B,09,35652352,33,0378,2021-07-21 10:18:02,R,287820602
00,D88039EC48E0,000E,15,1E,0A,01,1C,09,35652352,33,0378,2021-07-21 10:18:21,R,287820776
00,D88039EC48E0,000E,15,1F,0A,01,02,09,52429568,33,0378,2021-07-21 10:18:45,R,287820982
00,D88039EC48E0,000E,15,23,0A,01,02,09,52429568,33,0378,2021-07-21 10:19:30,R,287821353
00,D88039EC48E0,000E,15,29,0A,01,0A,09,52429568,33,0378,2021-07-21 10:23:24,R,287823329
00,D88039EC48E0,000E,15,03,0A,01,0A,09,0,33,0378,2021-07-21 10:25:02,R,287824320
00,D88039EC48E0,000E,15,04,0A,01,0A,09,0,33,0378,2021-07-21 10:25:04,R,287824346
00,D88039EC48E0,000E,15,06,0A,01,0A,09,0,33,0378,2021-07-21 10:25:06,R,287824365
00,D88039EC48E0,000E,15,05,0A,01,0A,09,0,33,0378,2021-07-21 10:25:10,R,287824415
00,D88039EC48E0,000E,15,07,0A,01,0B,09,0,33,0378,2021-07-21 10:25:21,R,287824522
00,D88039EC48E0,000E,15,08,0A,01,0A,09,0,33,0378,2021-07-21 10:25:24,R,287824550
00,D88039EC48E0,000E,15,03,0A,01,0A,09,0,33,0378,2021-07-21 10:26:59,R,287825340
00,D88039EC48E0,000E,15,04,0A,01,0A,09,0,33,0378,2021-07-21 10:27:01,R,287825353
00,D88039EC48E0,000E,15,06,0A,01,0A,09,0,33,0378,2021-07-21 10:27:03,R,287825376
00,D88039EC48E0,000E,15,05,0A,01,0A,09,0,33,0378,2021-07-21 10:27:07,R,287825412
00,D88039EC48E0,000E,15,07,0A,01,0B,09,0,33,0378,2021-07-21 10:27:40,R,287825656
00,D88039EC48E0,000E,15,09,0A,01,1C,09,0,33,0378,2021-07-21 10:27:54,R,287825769
00,D88039EC48E0,000E,15,0A,0A,01,02,09,85984000,33,0378,2021-07-21 10:28:18,R,287825976
00,D88039EC48E0,000E,15,0D,0A,01,02,09,85984000,33,0378,2021-07-21 10:29:04,R,287826357
00,D88039EC48E0,000E,15,12,0A,01,0A,09,85984000,33,0378,2021-07-21 10:31:41,R,287827673
00,D88039EC48E0,000E,15,13,0A,01,0B,09,85984000,33,0378,2021-07-21 10:33:23,R,287828538
00,D88039EC48E0,000E,15,15,0A,01,1C,09,85984000,33,0378,2021-07-21 10:33:40,R,287828722
00,D88039EC48E0,000E,15,16,0A,01,02,09,153092864,33,0378,2021-07-21 10:34:04,R,287828976
00,D88039EC48E0,000E,15,1A,0A,01,02,09,153092864,33,0378,2021-07-21 10:34:50,R,287829421
00,D88039EC48E0,000E,15,20,0A,01,07,09,153092864,33,0378,2021-07-21 10:37:15,R,287830675
00,D88039EC48E0,000E,15,21,0A,01,07,09,153092864,33,0378,2021-07-21 10:37:59,R,287831025
00,D88039EC48E0,000E,15,22,0A,01,0A,09,153092864,33,0378,2021-07-21 10:38:53,R,287831461
00,D88039EC48E0,000E,15,23,0A,01,0B,09,153092864,33,0378,2021-07-21 10:45:19,R,287834844
00,D88039EC48E0,000E,15,25,0A,01,1C,09,153092864,33,0378,2021-07-21 10:45:31,R,287834950
00,D88039EC48E0,000E,15,26,0A,01,02,09,203424512,33,0378,2021-07-21 10:45:55,R,287835144
00,D88039EC48E0,000E,15,29,0A,01,02,09,203424512,33,0378,2021-07-21 10:46:40,R,287835509
00,D88039EC48E0,000E,15,2D,0A,01,07,09,203424512,33,0378,2021-07-21 10:47:30,R,287835934
00,D88039EC48E0,000E,15,2E,0A,01,0A,09,203424512,33,0378,2021-07-21 10:47:37,R,287835994
00,D88039EC48E0,000E,15,2F,0A,01,0A,09,203424512,33,0378,2021-07-21 10:57:38,R,287841190
00,D88039EC48E0,000E,15,30,0A,01,1C,09,203424512,33,0378,2021-07-21 10:57:39,R,287841202
00,D88039EC48E0,000E,15,31,0A,01,02,09,253756160,33,0378,2021-07-21 10:58:05,R,287841430
00,D88039EC48E0,000E,15,35,0A,01,02,09,253756160,33,0378,2021-07-21 10:58:51,R,287841847
00,D88039EC48E0,000E,15,3A,0A,01,07,09,253756160,33,0378,2021-07-21 11:00:26,R,287842680
00,D88039EC48E0,000E,15,3B,0A,01,07,09,253756160,33,0378,2021-07-21 11:01:10,R,287843048
00,D88039EC48E0,000E,15,3C,0A,01,0A,09,253756160,33,0378,2021-07-21 11:01:12,R,287843063
00,D88039EC48E0,000E,15,3D,0A,01,0A,09,253756160,33,0378,2021-07-21 11:11:11,R,287848197
00,D88039EC48E0,000E,15,3E,0A,01,05,09,253756160,33,0378,2021-07-21 11:14:40,R,287850043
00,D88039EC48E0,000E,15,3F,0A,01,0A,09,253756160,33,0378,2021-07-21 11:14:49,R,287850161
00,D88039EC48E0,000E,15,40,0A,01,0B,09,253756160,33,0378,2021-07-21 11:16:26,R,287850974
00,D88039EC48E0,000E,15,42,0A,01,1C,09,253756160,33,0378,2021-07-21 11:16:38,R,287851110
00,D88039EC48E0,000E,15,43,0A,01,02,09,387973888,33,0378,2021-07-21 11:17:03,R,287851330
