RegDt,ServerId,ChargerId,Length,MessageType,SequenceNumber,DataLength,DeviceStatus_type,DeviceStatus,AccessId_type,AccessId,ChargerNumber_type,ChargerNumber,Send,msgId
2021-07-21 10:13:52,00,D88039EC48E0,000E,15,0F,0A,01,충전케이블 분리 (idle),09,0,33,0378,R,287818348
2021-07-21 10:13:55,00,D88039EC48E0,000E,15,10,0A,01,충전케이블 분리 (idle),09,0,33,0378,R,287818380
2021-07-21 10:13:59,00,D88039EC48E0,000E,15,11,0A,01,충전케이블 분리 (idle),09,0,33,0378,R,287818430
2021-07-21 10:15:03,00,D88039EC48E0,000E,15,12,0A,01,시작버튼 누름,09,0,33,0378,R,287819064
2021-07-21 10:15:35,00,D88039EC48E0,000E,15,13,0A,01,충전케이블 분리 (idle),09,0,33,0378,R,287819368
2021-07-21 10:15:36,00,D88039EC48E0,000E,15,14,0A,01,시작버튼 누름,09,0,33,0378,R,287819383
2021-07-21 10:16:06,00,D88039EC48E0,000E,15,16,0A,01,Ready (콤보),09,0,33,0378,R,287819629
2021-07-21 10:16:31,00,D88039EC48E0,000E,15,17,0A,01,Charging,09,35652352,33,0378,R,287819834
2021-07-21 10:17:17,00,D88039EC48E0,000E,15,1A,0A,01,Charging,09,35652352,33,0378,R,287820239
2021-07-21 10:17:44,00,D88039EC48E0,000E,15,1B,0A,01,충전케이블 분리 (idle),09,35652352,33,0378,R,287820466
2021-07-21 10:18:02,00,D88039EC48E0,000E,15,1C,0A,01,시작버튼 누름,09,35652352,33,0378,R,287820602
2021-07-21 10:18:21,00,D88039EC48E0,000E,15,1E,0A,01,Ready (콤보),09,35652352,33,0378,R,287820776
2021-07-21 10:18:45,00,D88039EC48E0,000E,15,1F,0A,01,Charging,09,52429568,33,0378,R,287820982
2021-07-21 10:19:30,00,D88039EC48E0,000E,15,23,0A,01,Charging,09,52429568,33,0378,R,287821353
2021-07-21 10:23:24,00,D88039EC48E0,000E,15,29,0A,01,충전케이블 분리 (idle),09,52429568,33,0378,R,287823329
2021-07-21 10:25:02,00,D88039EC48E0,000E,15,03,0A,01,충전케이블 분리 (idle),09,0,33,0378,R,287824320
2021-07-21 10:25:04,00,D88039EC48E0,000E,15,04,0A,01,충전케이블 분리 (idle),09,0,33,0378,R,287824346
2021-07-21 10:25:06,00,D88039EC48E0,000E,15,06,0A,01,충전케이블 분리 (idle),09,0,33,0378,R,287824365
2021-07-21 10:25:10,00,D88039EC48E0,000E,15,05,0A,01,충전케이블 분리 (idle),09,0,33,0378,R,287824415
2021-07-21 10:25:21,00,D88039EC48E0,000E,15,07,0A,01,시작버튼 누름,09,0,33,0378,R,287824522
2021-07-21 10:25:24,00,D88039EC48E0,000E,15,08,0A,01,충전케이블 분리 (idle),09,0,33,0378,R,287824550
2021-07-21 10:26:59,00,D88039EC48E0,000E,15,03,0A,01,충전케이블 분리 (idle),09,0,33,0378,R,287825340
2021-07-21 10:27:01,00,D88039EC48E0,000E,15,04,0A,01,충전케이블 분리 (idle),09,0,33,0378,R,287825353
2021-07-21 10:27:03,00,D88039EC48E0,000E,15,06,0A,01,충전케이블 분리 (idle),09,0,33,0378,R,287825376
2021-07-21 10:27:07,00,D88039EC48E0,000E,15,05,0A,01,충전케이블 분리 (idle),09,0,33,0378,R,287825412
2021-07-21 10:27:40,00,D88039EC48E0,000E,15,07,0A,01,시작버튼 누름,09,0,33,0378,R,287825656
2021-07-21 10:27:54,00,D88039EC48E0,000E,15,09,0A,01,Ready (콤보),09,0,33,0378,R,287825769
2021-07-21 10:28:18,00,D88039EC48E0,000E,15,0A,0A,01,Charging,09,85984000,33,0378,R,287825976
2021-07-21 10:29:04,00,D88039EC48E0,000E,15,0D,0A,01,Charging,09,85984000,33,0378,R,287826357
2021-07-21 10:31:41,00,D88039EC48E0,000E,15,12,0A,01,충전케이블 분리 (idle),09,85984000,33,0378,R,287827673
2021-07-21 10:33:23,00,D88039EC48E0,000E,15,13,0A,01,시작버튼 누름,09,85984000,33,0378,R,287828538
2021-07-21 10:33:40,00,D88039EC48E0,000E,15,15,0A,01,Ready (콤보),09,85984000,33,0378,R,287828722
2021-07-21 10:34:04,00,D88039EC48E0,000E,15,16,0A,01,Charging,09,153092864,33,0378,R,287828976
2021-07-21 10:34:50,00,D88039EC48E0,000E,15,1A,0A,01,Charging,09,153092864,33,0378,R,287829421
2021-07-21 10:37:15,00,D88039EC48E0,000E,15,20,0A,01,Charging Finished,09,153092864,33,0378,R,287830675
2021-07-21 10:37:59,00,D88039EC48E0,000E,15,21,0A,01,Charging Finished,09,153092864,33,0378,R,287831025
2021-07-21 10:38:53,00,D88039EC48E0,000E,15,22,0A,01,충전케이블 분리 (idle),09,153092864,33,0378,R,287831461
2021-07-21 10:45:19,00,D88039EC48E0,000E,15,23,0A,01,시작버튼 누름,09,153092864,33,0378,R,287834844
2021-07-21 10:45:31,00,D88039EC48E0,000E,15,25,0A,01,Ready (콤보),09,153092864,33,0378,R,287834950
2021-07-21 10:45:55,00,D88039EC48E0,000E,15,26,0A,01,Charging,09,203424512,33,0378,R,287835144
2021-07-21 10:46:40,00,D88039EC48E0,000E,15,29,0A,01,Charging,09,203424512,33,0378,R,287835509
2021-07-21 10:47:30,00,D88039EC48E0,000E,15,2D,0A,01,Charging Finished,09,203424512,33,0378,R,287835934
2021-07-21 10:47:37,00,D88039EC48E0,000E,15,2E,0A,01,충전케이블 분리 (idle),09,203424512,33,0378,R,287835994
2021-07-21 10:57:38,00,D88039EC48E0,000E,15,2F,0A,01,충전케이블 분리 (idle),09,203424512,33,0378,R,287841190
2021-07-21 10:57:39,00,D88039EC48E0,000E,15,30,0A,01,Ready (콤보),09,203424512,33,0378,R,287841202
2021-07-21 10:58:05,00,D88039EC48E0,000E,15,31,0A,01,Charging,09,253756160,33,0378,R,287841430
2021-07-21 10:58:51,00,D88039EC48E0,000E,15,35,0A,01,Charging,09,253756160,33,0378,R,287841847
2021-07-21 11:00:26,00,D88039EC48E0,000E,15,3A,0A,01,Charging Finished,09,253756160,33,0378,R,287842680
2021-07-21 11:01:10,00,D88039EC48E0,000E,15,3B,0A,01,Charging Finished,09,253756160,33,0378,R,287843048
2021-07-21 11:01:12,00,D88039EC48E0,000E,15,3C,0A,01,충전케이블 분리 (idle),09,253756160,33,0378,R,287843063
2021-07-21 11:11:11,00,D88039EC48E0,000E,15,3D,0A,01,충전케이블 분리 (idle),09,253756160,33,0378,R,287848197
2021-07-21 11:14:40,00,D88039EC48E0,000E,15,3E,0A,01,Error,09,253756160,33,0378,R,287850043
2021-07-21 11:14:49,00,D88039EC48E0,000E,15,3F,0A,01,충전케이블 분리 (idle),09,253756160,33,0378,R,287850161
2021-07-21 11:16:26,00,D88039EC48E0,000E,15,40,0A,01,시작버튼 누름,09,253756160,33,0378,R,287850974
2021-07-21 11:16:38,00,D88039EC48E0,000E,15,42,0A,01,Ready (콤보),09,253756160,33,0378,R,287851110
2021-07-21 11:17:03,00,D88039EC48E0,000E,15,43,0A,01,Charging,09,387973888,33,0378,R,287851330
2021-07-21 11:17:48,00,D88039EC48E0,000E,15,46,0A,01,Charging,09,387973888,33,0378,R,287851707
2021-07-21 11:22:49,00,D88039EC48E0,000E,15,4E,0A,01,Charging,09,387973888,33,0378,R,287854219
2021-07-21 11:32:50,00,D88039EC48E0,000E,15,59,0A,01,Charging,09,387973888,33,0378,R,287859406
2021-07-21 11:42:50,00,D88039EC48E0,000E,15,61,0A,01,Charging,09,387973888,33,0378,R,287864626
2021-07-21 11:49:56,00,D88039EC48E0,000E,15,68,0A,01,Charging Finished,09,387973888,33,0378,R,287868393
2021-07-21 11:50:40,00,D88039EC48E0,000E,15,69,0A,01,Charging Finished,09,387973888,33,0378,R,287868734
2021-07-21 11:50:42,00,D88039EC48E0,000E,15,6A,0A,01,충전케이블 연결오류,09,387973888,33,0378,R,287868750
2021-07-21 11:50:44,00,D88039EC48E0,000E,15,6B,0A,01,충전케이블 분리 (idle),09,387973888,33,0378,R,287868766
2021-07-21 11:50:46,00,D88039EC48E0,000E,15,6C,0A,01,충전케이블 분리 (idle),09,387973888,33,0378,R,287868781
2021-07-21 12:00:44,00,D88039EC48E0,000E,15,6D,0A,01,충전케이블 분리 (idle),09,387973888,33,0378,R,287873987
2021-07-21 12:10:44,00,D88039EC48E0,000E,15,6E,0A,01,충전케이블 분리 (idle),09,387973888,33,0378,R,287879173
2021-07-21 12:19:03,00,D88039EC48E0,000E,15,6F,0A,01,Ready (콤보),09,387973888,33,0378,R,287883532
2021-07-21 12:19:08,00,D88039EC48E0,000E,15,70,0A,01,시작버튼 누름,09,387973888,33,0378,R,287883564
2021-07-21 12:19:53,00,D88039EC48E0,000E,15,71,0A,01,충전케이블 분리 (idle),09,387973888,33,0378,R,287883968
2021-07-21 12:20:16,00,D88039EC48E0,000E,15,72,0A,01,Ready (콤보),09,387973888,33,0378,R,287884156
2021-07-21 12:20:41,00,D88039EC48E0,000E,15,73,0A,01,Charging,09,824181504,33,0378,R,287884367
2021-07-21 12:21:09,00,D88039EC48E0,000E,15,75,0A,01,충전케이블 분리 (idle),09,824181504,33,0378,R,287884608
2021-07-21 12:21:27,00,D88039EC48E0,000E,15,76,0A,01,시작버튼 누름,09,824181504,33,0378,R,287884742
2021-07-21 12:21:43,00,D88039EC48E0,000E,15,77,0A,01,Ready (콤보),09,824181504,33,0378,R,287884907
2021-07-21 12:22:07,00,D88039EC48E0,000E,15,78,0A,01,Charging,09,840958720,33,0378,R,287885123
2021-07-21 12:22:53,00,D88039EC48E0,000E,15,7C,0A,01,Charging,09,840958720,33,0378,R,287885500
2021-07-21 12:23:27,00,D88039EC48E0,000E,15,7E,0A,01,충전케이블 분리 (idle),09,840958720,33,0378,R,287885820
2021-07-21 12:25:34,00,D88039EC48E0,000E,15,7F,0A,01,시작버튼 누름,09,840958720,33,0378,R,287887073
2021-07-21 12:26:03,00,D88039EC48E0,000E,15,80,0A,01,Ready (콤보),09,840958720,33,0378,R,287887310
2021-07-21 12:26:28,00,D88039EC48E0,000E,15,81,0A,01,Charging,09,891290368,33,0378,R,287887488
2021-07-21 12:27:14,00,D88039EC48E0,000E,15,85,0A,01,Charging,09,891290368,33,0378,R,287887905
2021-07-21 12:27:34,00,D88039EC48E0,000E,15,86,0A,01,충전케이블 분리 (idle),09,891290368,33,0378,R,287888069
2021-07-21 12:27:54,00,D88039EC48E0,000E,15,87,0A,01,시작버튼 누름,09,891290368,33,0378,R,287888230
2021-07-21 12:28:39,00,D88039EC48E0,000E,15,88,0A,01,시작버튼 누름,09,891290368,33,0378,R,287888631
2021-07-21 12:29:13,00,D88039EC48E0,000E,15,89,0A,01,충전케이블 분리 (idle),09,891290368,33,0378,R,287888883
2021-07-21 12:29:28,00,D88039EC48E0,000E,15,8A,0A,01,시작버튼 누름,09,891290368,33,0378,R,287889006
2021-07-21 12:30:10,00,D88039EC48E0,000E,15,8C,0A,01,Ready (콤보),09,891290368,33,0378,R,287889391
2021-07-21 12:30:33,00,D88039EC48E0,000E,15,8D,0A,01,Charging,09,924844800,33,0378,R,287889576
2021-07-21 12:31:19,00,D88039EC48E0,000E,15,91,0A,01,Charging,09,924844800,33,0378,R,287889935
2021-07-21 12:36:21,00,D88039EC48E0,000E,15,9B,0A,01,Charging,09,924844800,33,0378,R,287892634
2021-07-21 12:40:04,00,D88039EC48E0,000E,15,A2,0A,01,충전케이블 분리 (idle),09,924844800,33,0378,R,287894526
2021-07-21 12:42:10,00,D88039EC48E0,000E,15,A3,0A,01,Ready (콤보),09,924844800,33,0378,R,287895582
2021-07-21 12:42:35,00,D88039EC48E0,000E,15,A4,0A,01,Charging,09,991953664,33,0378,R,287895781
2021-07-21 12:43:21,00,D88039EC48E0,000E,15,A8,0A,01,Charging,09,991953664,33,0378,R,287896129
2021-07-21 12:46:43,00,D88039EC48E0,000E,15,AF,0A,01,충전케이블 분리 (idle),09,991953664,33,0378,R,287898022
2021-07-21 12:47:09,00,D88039EC48E0,000E,15,B0,0A,01,Ready (콤보),09,991953664,33,0378,R,287898256
2021-07-21 12:47:33,00,D88039EC48E0,000E,15,B1,0A,01,Charging,09,1042285312,33,0378,R,287898438
2021-07-21 12:48:19,00,D88039EC48E0,000E,15,B5,0A,01,Charging,09,1042285312,33,0378,R,287898821
2021-07-21 12:53:24,00,D88039EC48E0,000E,15,BF,0A,01,Charging,09,1042285312,33,0378,R,287901360
2021-07-21 13:03:25,00,D88039EC48E0,000E,15,D2,0A,01,Charging,09,1042285312,33,0378,R,287906581
2021-07-21 13:13:25,00,D88039EC48E0,000E,15,DF,0A,01,Charging,09,1042285312,33,0378,R,287911822
2021-07-21 13:23:26,00,D88039EC48E0,000E,15,E8,0A,01,Charging,09,1042285312,33,0378,R,287917070
2021-07-21 13:30:10,00,D88039EC48E0,000E,15,EE,0A,01,Charging Finished,09,1042285312,33,0378,R,287920627
2021-07-21 13:30:54,00,D88039EC48E0,000E,15,EF,0A,01,Charging Finished,09,1042285312,33,0378,R,287920968
2021-07-21 13:35:55,00,D88039EC48E0,000E,15,F0,0A,01,Charging Finished,09,1042285312,33,0378,R,287923704
2021-07-21 13:45:55,00,D88039EC48E0,000E,15,F1,0A,01,Charging Finished,09,1042285312,33,0378,R,287928965
2021-07-21 13:55:56,00,D88039EC48E0,000E,15,F2,0A,01,Charging Finished,09,1042285312,33,0378,R,287934212
2021-07-21 14:05:56,00,D88039EC48E0,000E,15,F3,0A,01,Charging Finished,09,1042285312,33,0378,R,287939412
2021-07-21 14:15:56,00,D88039EC48E0,000E,15,F4,0A,01,Charging Finished,09,1042285312,33,0378,R,287944617
2021-07-21 14:25:56,00,D88039EC48E0,000E,15,F5,0A,01,Charging Finished,09,1042285312,33,0378,R,287949821
2021-07-21 14:35:56,00,D88039EC48E0,000E,15,F6,0A,01,Charging Finished,09,1042285312,33,0378,R,287955046
2021-07-21 14:45:57,00,D88039EC48E0,000E,15,F7,0A,01,Charging Finished,09,1042285312,33,0378,R,287960236
2021-07-21 14:55:57,00,D88039EC48E0,000E,15,F8,0A,01,Charging Finished,09,1042285312,33,0378,R,287965422
2021-07-21 15:05:57,00,D88039EC48E0,000E,15,F9,0A,01,Charging Finished,09,1042285312,33,0378,R,287970692
2021-07-21 15:10:06,00,D88039EC48E0,000E,15,FA,0A,01,충전케이블 분리 (idle),09,1042285312,33,0378,R,287972834
2021-07-21 15:11:51,00,D88039EC48E0,000E,15,FB,0A,01,Ready (콤보),09,1042285312,33,0378,R,287973705
2021-07-21 15:12:07,00,D88039EC48E0,000E,15,FC,0A,01,충전케이블 분리 (idle),09,1042285312,33,0378,R,287973844
