RegDt,ServerId,ChargerId,Length,MessageType,SequenceNumber,DataLength,MessagePending_type,MessagePending,WakeupInterval_type,WakeupInterval,ChargerNumber_type,ChargerNumber,Send,msgId
2021-07-21 10:13:53,00,D88039EC48E0,000B,1A,F4,07,12,0,13,00,33,0378,S,287818358
2021-07-21 10:13:56,00,D88039EC48E0,000B,1A,05,07,12,0,13,00,33,0378,S,287818392
2021-07-21 10:14:00,00,D88039EC48E0,000B,1A,1E,07,12,0,13,00,33,0378,S,287818444
2021-07-21 10:15:04,00,D88039EC48E0,000B,1A,5B,07,12,0,13,00,33,0378,S,287819076
2021-07-21 10:15:36,00,D88039EC48E0,000B,1A,F3,07,12,0,13,00,33,0378,S,287819377
2021-07-21 10:15:37,00,D88039EC48E0,000B,1A,FB,07,12,0,13,00,33,0378,S,287819392
2021-07-21 10:16:07,00,D88039EC48E0,000B,1A,75,07,12,1,13,00,33,0378,S,287819636
2021-07-21 10:16:32,00,D88039EC48E0,000B,1A,DE,07,12,0,13,00,33,0378,S,287819848
2021-07-21 10:17:18,00,D88039EC48E0,000B,1A,A9,07,12,0,13,00,33,0378,S,287820245
2021-07-21 10:17:45,00,D88039EC48E0,000B,1A,1B,07,12,0,13,00,33,0378,S,287820476
2021-07-21 10:18:03,00,D88039EC48E0,000B,1A,5D,07,12,0,13,00,33,0378,S,287820611
2021-07-21 10:18:22,00,D88039EC48E0,000B,1A,B4,07,12,1,13,00,33,0378,S,287820783
2021-07-21 10:18:46,00,D88039EC48E0,000B,1A,1E,07,12,0,13,00,33,0378,S,287820991
2021-07-21 10:19:31,00,D88039EC48E0,000B,1A,DA,07,12,0,13,00,33,0378,S,287821365
2021-07-21 10:23:25,00,D88039EC48E0,000B,1A,B5,07,12,0,13,00,33,0378,S,287823342
2021-07-21 10:25:03,00,D88039EC48E0,000B,1A,A5,07,12,0,13,00,33,0378,S,287824329
2021-07-21 10:25:05,00,D88039EC48E0,000B,1A,B4,07,12,0,13,00,33,0378,S,287824357
2021-07-21 10:25:07,00,D88039EC48E0,000B,1A,BC,07,12,0,13,00,33,0378,S,287824379
2021-07-21 10:25:11,00,D88039EC48E0,000B,1A,D5,07,12,0,13,00,33,0378,S,287824422
2021-07-21 10:25:22,00,D88039EC48E0,000B,1A,0A,07,12,0,13,00,33,0378,S,287824530
2021-07-21 10:25:25,00,D88039EC48E0,000B,1A,18,07,12,0,13,00,33,0378,S,287824556
2021-07-21 10:27:00,00,D88039EC48E0,000B,1A,A2,07,12,0,13,00,33,0378,S,287825346
2021-07-21 10:27:02,00,D88039EC48E0,000B,1A,A9,07,12,0,13,00,33,0378,S,287825363
2021-07-21 10:27:04,00,D88039EC48E0,000B,1A,B6,07,12,0,13,00,33,0378,S,287825384
2021-07-21 10:27:08,00,D88039EC48E0,000B,1A,C8,07,12,0,13,00,33,0378,S,287825419
2021-07-21 10:27:41,00,D88039EC48E0,000B,1A,43,07,12,0,13,00,33,0378,S,287825669
2021-07-21 10:27:55,00,D88039EC48E0,000B,1A,79,07,12,1,13,00,33,0378,S,287825778
2021-07-21 10:28:19,00,D88039EC48E0,000B,1A,E3,07,12,0,13,00,33,0378,S,287825986
2021-07-21 10:29:05,00,D88039EC48E0,000B,1A,A1,07,12,0,13,00,33,0378,S,287826366
2021-07-21 10:31:42,00,D88039EC48E0,000B,1A,35,07,12,0,13,00,33,0378,S,287827685
2021-07-21 10:33:24,00,D88039EC48E0,000B,1A,E6,07,12,0,13,00,33,0378,S,287828553
2021-07-21 10:33:41,00,D88039EC48E0,000B,1A,42,07,12,1,13,00,33,0378,S,287828733
2021-07-21 10:34:05,00,D88039EC48E0,000B,1A,C2,07,12,0,13,00,33,0378,S,287828987
2021-07-21 10:34:51,00,D88039EC48E0,000B,1A,A1,07,12,0,13,00,33,0378,S,287829435
2021-07-21 10:37:16,00,D88039EC48E0,000B,1A,15,07,12,0,13,00,33,0378,S,287830683
2021-07-21 10:38:00,00,D88039EC48E0,000B,1A,C3,07,12,0,13,00,33,0378,S,287831031
2021-07-21 10:38:54,00,D88039EC48E0,000B,1A,9F,07,12,0,13,00,33,0378,S,287831472
2021-07-21 10:45:20,00,D88039EC48E0,000B,1A,3F,07,12,0,13,00,33,0378,S,287834858
2021-07-21 10:45:32,00,D88039EC48E0,000B,1A,73,07,12,1,13,00,33,0378,S,287834958
2021-07-21 10:45:56,00,D88039EC48E0,000B,1A,D5,07,12,0,13,00,33,0378,S,287835155
2021-07-21 10:46:41,00,D88039EC48E0,000B,1A,8A,07,12,0,13,00,33,0378,S,287835518
2021-07-21 10:47:31,00,D88039EC48E0,000B,1A,61,07,12,0,13,00,33,0378,S,287835946
2021-07-21 10:47:38,00,D88039EC48E0,000B,1A,7D,07,12,0,13,00,33,0378,S,287836001
2021-07-21 10:57:39,00,D88039EC48E0,000B,1A,A3,07,12,0,13,00,33,0378,S,287841195
2021-07-21 10:57:40,00,D88039EC48E0,000B,1A,AB,07,12,1,13,00,33,0378,S,287841214
2021-07-21 10:58:07,00,D88039EC48E0,000B,1A,1D,07,12,0,13,00,33,0378,S,287841439
2021-07-21 10:58:52,00,D88039EC48E0,000B,1A,EF,07,12,0,13,00,33,0378,S,287841857
2021-07-21 11:00:27,00,D88039EC48E0,000B,1A,92,07,12,0,13,00,33,0378,S,287842693
2021-07-21 11:01:11,00,D88039EC48E0,000B,1A,49,07,12,0,13,00,33,0378,S,287843053
2021-07-21 11:01:13,00,D88039EC48E0,000B,1A,54,07,12,0,13,00,33,0378,S,287843076
2021-07-21 11:11:12,00,D88039EC48E0,000B,1A,5A,07,12,0,13,00,33,0378,S,287848204
2021-07-21 11:14:41,00,D88039EC48E0,000B,1A,F7,07,12,0,13,00,33,0378,S,287850053
2021-07-21 11:14:50,00,D88039EC48E0,000B,1A,33,07,12,0,13,00,33,0378,S,287850173
2021-07-21 11:16:27,00,D88039EC48E0,000B,1A,C9,07,12,0,13,00,33,0378,S,287850980
2021-07-21 11:16:39,00,D88039EC48E0,000B,1A,0D,07,12,1,13,00,33,0378,S,287851115
2021-07-21 11:17:04,00,D88039EC48E0,000B,1A,7E,07,12,0,13,00,33,0378,S,287851340
2021-07-21 11:17:49,00,D88039EC48E0,000B,1A,38,07,12,0,13,00,33,0378,S,287851712
2021-07-21 11:22:50,00,D88039EC48E0,000B,1A,22,07,12,0,13,00,33,0378,S,287854227
2021-07-21 11:32:51,00,D88039EC48E0,000B,1A,4A,07,12,0,13,00,33,0378,S,287859412
2021-07-21 11:42:51,00,D88039EC48E0,000B,1A,7E,07,12,0,13,00,33,0378,S,287864631
2021-07-21 11:49:57,00,D88039EC48E0,000B,1A,DF,07,12,0,13,00,33,0378,S,287868403
2021-07-21 11:50:41,00,D88039EC48E0,000B,1A,88,07,12,0,13,00,33,0378,S,287868737
2021-07-21 11:50:43,00,D88039EC48E0,000B,1A,94,07,12,0,13,00,33,0378,S,287868761
2021-07-21 11:50:45,00,D88039EC48E0,000B,1A,9A,07,12,0,13,00,33,0378,S,287868773
2021-07-21 11:50:47,00,D88039EC48E0,000B,1A,A2,07,12,0,13,00,33,0378,S,287868791
2021-07-21 12:00:45,00,D88039EC48E0,000B,1A,D0,07,12,0,13,00,33,0378,S,287873995
2021-07-21 12:10:45,00,D88039EC48E0,000B,1A,F5,07,12,0,13,00,33,0378,S,287879182
2021-07-21 12:19:04,00,D88039EC48E0,000B,1A,7C,07,12,0,13,00,33,0378,S,287883542
2021-07-21 12:19:09,00,D88039EC48E0,000B,1A,8D,07,12,0,13,00,33,0378,S,287883573
2021-07-21 12:19:54,00,D88039EC48E0,000B,1A,56,07,12,0,13,00,33,0378,S,287883975
2021-07-21 12:20:17,00,D88039EC48E0,000B,1A,B6,07,12,1,13,00,33,0378,S,287884165
2021-07-21 12:20:43,00,D88039EC48E0,000B,1A,1E,07,12,0,13,00,33,0378,S,287884378
2021-07-21 12:21:10,00,D88039EC48E0,000B,1A,98,07,12,0,13,00,33,0378,S,287884614
2021-07-21 12:21:28,00,D88039EC48E0,000B,1A,DC,07,12,0,13,00,33,0378,S,287884753
2021-07-21 12:21:44,00,D88039EC48E0,000B,1A,31,07,12,1,13,00,33,0378,S,287884918
2021-07-21 12:22:09,00,D88039EC48E0,000B,1A,9A,07,12,0,13,00,33,0378,S,287885137
2021-07-21 12:22:54,00,D88039EC48E0,000B,1A,57,07,12,0,13,00,33,0378,S,287885506
2021-07-21 12:23:28,00,D88039EC48E0,000B,1A,FC,07,12,0,13,00,33,0378,S,287885835
2021-07-21 12:25:35,00,D88039EC48E0,000B,1A,6E,07,12,0,13,00,33,0378,S,287887084
2021-07-21 12:26:04,00,D88039EC48E0,000B,1A,E4,07,12,1,13,00,33,0378,S,287887324
2021-07-21 12:26:29,00,D88039EC48E0,000B,1A,3D,07,12,0,13,00,33,0378,S,287887499
2021-07-21 12:27:15,00,D88039EC48E0,000B,1A,0E,07,12,0,13,00,33,0378,S,287887913
2021-07-21 12:27:35,00,D88039EC48E0,000B,1A,62,07,12,0,13,00,33,0378,S,287888082
2021-07-21 12:27:55,00,D88039EC48E0,000B,1A,AF,07,12,0,13,00,33,0378,S,287888237
2021-07-21 12:28:40,00,D88039EC48E0,000B,1A,7A,07,12,0,13,00,33,0378,S,287888640
2021-07-21 12:29:14,00,D88039EC48E0,000B,1A,F9,07,12,0,13,00,33,0378,S,287888898
2021-07-21 12:29:29,00,D88039EC48E0,000B,1A,38,07,12,0,13,00,33,0378,S,287889021
2021-07-21 12:30:11,00,D88039EC48E0,000B,1A,F6,07,12,1,13,00,33,0378,S,287889399
2021-07-21 12:30:34,00,D88039EC48E0,000B,1A,53,07,12,0,13,00,33,0378,S,287889585
2021-07-21 12:31:20,00,D88039EC48E0,000B,1A,07,07,12,0,13,00,33,0378,S,287889948
2021-07-21 12:36:22,00,D88039EC48E0,000B,1A,4D,07,12,0,13,00,33,0378,S,287892645
2021-07-21 12:40:05,00,D88039EC48E0,000B,1A,00,07,12,0,13,00,33,0378,S,287894538
2021-07-21 12:42:11,00,D88039EC48E0,000B,1A,10,07,12,1,13,00,33,0378,S,287895591
2021-07-21 12:42:36,00,D88039EC48E0,000B,1A,73,07,12,0,13,00,33,0378,S,287895788
2021-07-21 12:43:22,00,D88039EC48E0,000B,1A,26,07,12,0,13,00,33,0378,S,287896146
2021-07-21 12:46:44,00,D88039EC48E0,000B,1A,D7,07,12,0,13,00,33,0378,S,287898030
2021-07-21 12:47:10,00,D88039EC48E0,000B,1A,4C,07,12,1,13,00,33,0378,S,287898262
2021-07-21 12:47:34,00,D88039EC48E0,000B,1A,AA,07,12,0,13,00,33,0378,S,287898453
2021-07-21 12:48:20,00,D88039EC48E0,000B,1A,66,07,12,0,13,00,33,0378,S,287898834
2021-07-21 12:53:25,00,D88039EC48E0,000B,1A,61,07,12,0,13,00,33,0378,S,287901375
2021-07-21 13:03:26,00,D88039EC48E0,000B,1A,94,07,12,0,13,00,33,0378,S,287906593
2021-07-21 13:13:26,00,D88039EC48E0,000B,1A,D4,07,12,0,13,00,33,0378,S,287911835
2021-07-21 13:23:27,00,D88039EC48E0,000B,1A,18,07,12,0,13,00,33,0378,S,287917085
2021-07-21 13:30:11,00,D88039EC48E0,000B,1A,0A,07,12,0,13,00,33,0378,S,287920635
2021-07-21 13:30:55,00,D88039EC48E0,000B,1A,B5,07,12,0,13,00,33,0378,S,287920979
2021-07-21 13:35:56,00,D88039EC48E0,000B,1A,0E,07,12,0,13,00,33,0378,S,287923712
2021-07-21 13:45:56,00,D88039EC48E0,000B,1A,58,07,12,0,13,00,33,0378,S,287928974
2021-07-21 13:55:57,00,D88039EC48E0,000B,1A,9C,07,12,0,13,00,33,0378,S,287934221
2021-07-21 14:05:57,00,D88039EC48E0,000B,1A,CA,07,12,0,13,00,33,0378,S,287939423
2021-07-21 14:15:57,00,D88039EC48E0,000B,1A,F9,07,12,0,13,00,33,0378,S,287944625
2021-07-21 14:25:57,00,D88039EC48E0,000B,1A,27,07,12,0,13,00,33,0378,S,287949832
2021-07-21 14:35:58,00,D88039EC48E0,000B,1A,65,07,12,0,13,00,33,0378,S,287955059
2021-07-21 14:45:58,00,D88039EC48E0,000B,1A,8C,07,12,0,13,00,33,0378,S,287960246
2021-07-21 14:55:58,00,D88039EC48E0,000B,1A,B0,07,12,0,13,00,33,0378,S,287965432
2021-07-21 15:05:58,00,D88039EC48E0,000B,1A,00,07,12,0,13,00,33,0378,S,287970703
2021-07-21 15:10:07,00,D88039EC48E0,000B,1A,31,07,12,0,13,00,33,0378,S,287972844
2021-07-21 15:11:52,00,D88039EC48E0,000B,1A,E3,07,12,0,13,00,33,0378,S,287973711
2021-07-21 15:12:08,00,D88039EC48E0,000B,1A,2A,07,12,0,13,00,33,0378,S,287973852
2021-07-21 15:12:46,00,D88039EC48E0,000B,1A,C7,07,12,1,13,00,33,0378,S,287974170
2021-07-21 15:13:10,00,D88039EC48E0,000B,1A,2B,07,12,0,13,00,33,0378,S,287974365
2021-07-21 15:13:56,00,D88039EC48E0,000B,1A,FF,07,12,0,13,00,33,0378,S,287974792
2021-07-21 15:18:57,00,D88039EC48E0,000B,1A,4E,07,12,0,13,00,33,0378,S,287977503
2021-07-21 15:28:58,00,D88039EC48E0,000B,1A,A1,07,12,0,13,00,33,0378,S,287982785
2021-07-21 15:38:59,00,D88039EC48E0,000B,1A,04,07,12,0,13,00,33,0378,S,287988093
2021-07-21 15:49:00,00,D88039EC48E0,000B,1A,55,07,12,0,13,00,33,0378,S,287993357
2021-07-21 15:55:29,00,D88039EC48E0,000B,1A,0F,07,12,0,13,00,33,0378,S,287996802
2021-07-21 15:55:31,00,D88039EC48E0,000B,1A,1A,07,12,0,13,00,33,0378,S,287996823
2021-07-21 16:05:32,00,D88039EC48E0,000B,1A,53,07,12,0,13,00,33,0378,S,288002045
2021-07-21 16:10:04,00,D88039EC48E0,000B,1A,DB,07,12,1,13,00,33,0378,S,288004357
2021-07-21 16:10:29,00,D88039EC48E0,000B,1A,42,07,12,0,13,00,33,0378,S,288004565
2021-07-21 16:11:15,00,D88039EC48E0,000B,1A,FD,07,12,0,13,00,33,0378,S,288004934
2021-07-21 16:16:16,00,D88039EC48E0,000B,1A,4B,07,12,0,13,00,33,0378,S,288007647
