ChargerId,RegDt,Send,msg,msgId
D88039EC48E0,9/6/21 23:26,R,   00 D8 80 39 EC 48 E0 00    0E 15 12 0A 01 0A 09 6A    C2 03 00 33 03 78 DE    ,327307010
D88039EC48E0,9/6/21 23:26,S,   00 D8 80 39 EC 48 E0 00    0B 1A B1 07 12 00 13 00    33 03 78 5B             ,327307027
D88039EC48E0,9/6/21 23:36,R,   00 D8 80 39 EC 48 E0 00    0E 15 13 0A 01 0A 09 6A    C2 03 00 33 03 78 DD    ,327313396
D88039EC48E0,9/6/21 23:36,S,   00 D8 80 39 EC 48 E0 00    0B 1A 33 07 12 00 13 00    33 03 78 D9             ,327313414
D88039EC48E0,9/6/21 23:46,R,   00 D8 80 39 EC 48 E0 00    0E 15 14 0A 01 0A 09 6A    C2 03 00 33 03 78 DC    ,327319823
D88039EC48E0,9/6/21 23:46,S,   00 D8 80 39 EC 48 E0 00    0B 1A CC 07 12 00 13 00    33 03 78 40             ,327319835
D88039EC48E0,9/6/21 23:56,R,   00 D8 80 39 EC 48 E0 00    0E 15 15 0A 01 0A 09 6A    C2 03 00 33 03 78 DB    ,327326211
D88039EC48E0,9/6/21 23:56,S,   00 D8 80 39 EC 48 E0 00    0B 1A 4B 07 12 00 13 00    33 03 78 C1             ,327326223
D88039EC48E0,9/7/21 0:06,R,   00 D8 80 39 EC 48 E0 00    0E 15 16 0A 01 0A 09 6A    C2 03 00 33 03 78 DA    ,327332559
D88039EC48E0,9/7/21 0:06,S,   00 D8 80 39 EC 48 E0 00    0B 1A B9 07 12 00 13 00    33 03 78 53             ,327332573
D88039EC48E0,9/7/21 0:16,R,   00 D8 80 39 EC 48 E0 00    0E 15 17 0A 01 0A 09 6A    C2 03 00 33 03 78 D9    ,327338883
D88039EC48E0,9/7/21 0:16,S,   00 D8 80 39 EC 48 E0 00    0B 1A 1C 07 12 00 13 00    33 03 78 F0             ,327338892
D88039EC48E0,9/7/21 0:26,R,   00 D8 80 39 EC 48 E0 00    0E 15 18 0A 01 0A 09 6A    C2 03 00 33 03 78 D8    ,327345099
