RegDt,ServerId,ChargerId,Length,MessageType,SequenceNumber,DataLength,MessagePending_type,MessagePending,RequireWatt_type,RequireWatt,WakeupInterval_type,WakeupInterval,ChargingFee_type,ChargingFee,ChargerNumber_type,ChargerNumber,Send,msgId
2021-10-01 07:30:41,00,D88039EC48E0,0015,1B,42,11,12,1,17,3000000,13,00,28,    0,33,0378,S,348978195
2021-10-01 07:31:10,00,D88039EC48E0,0015,1B,DC,11,12,1,17,3000000,13,00,28,   83,33,0378,S,348978507
2021-10-01 07:31:38,00,D88039EC48E0,0015,1B,6C,11,12,1,17,3000000,13,00,28,  260,33,0378,S,348978792
2021-10-01 07:32:10,00,D88039EC48E0,0015,1B,20,11,12,1,17,3000000,13,00,28,  464,33,0378,S,348979150
2021-10-01 07:32:33,00,D88039EC48E0,0015,1B,93,11,12,1,17,3000000,13,00,28,  572,33,0378,S,348979380
2021-10-01 07:33:37,00,D88039EC48E0,0015,1B,F8,11,12,1,17,971050,13,00,28,  878,33,0378,S,348980097
2021-10-01 07:34:41,00,D88039EC48E0,0015,1B,59,11,12,1,17,971050,13,00,28, 1190,33,0378,S,348980805
2021-10-01 07:35:44,00,D88039EC48E0,0015,1B,A7,11,12,1,17,971050,13,00,28, 1496,33,0378,S,348981463
2021-10-01 07:36:47,00,D88039EC48E0,0015,1B,EC,11,12,1,17,971059,13,00,28, 1808,33,0378,S,348982115
2021-10-01 07:37:10,00,D88039EC48E0,0015,1B,6F,11,12,1,17,971059,13,00,28, 1919,33,0378,S,348982371
2021-10-01 07:37:50,00,D88039EC48E0,0015,1B,37,11,12,1,17,971059,13,00,28, 2117,33,0378,S,348982774
2021-10-01 07:38:52,00,D88039EC48E0,0015,1B,5C,11,12,1,17,971059,13,00,28, 2423,33,0378,S,348983366
2021-10-01 07:39:54,00,D88039EC48E0,0015,1B,94,11,12,1,17,971068,13,00,28, 2732,33,0378,S,348983983
2021-10-01 07:40:56,00,D88039EC48E0,0015,1B,C0,11,12,1,17,971068,13,00,28, 3045,33,0378,S,348984584
2021-10-01 07:41:57,00,D88039EC48E0,0015,1B,05,11,12,1,17,971068,13,00,28, 3351,33,0378,S,348985230
2021-10-01 07:42:02,00,D88039EC48E0,0015,1B,1C,11,12,1,17,971068,13,00,28, 3351,33,0378,S,348985279
2021-10-01 07:42:10,00,D88039EC48E0,0015,1B,50,11,12,1,17,971068,13,00,28, 3415,33,0378,S,348985381
2021-10-01 07:42:59,00,D88039EC48E0,0015,1B,6A,11,12,1,17,971075,13,00,28, 3663,33,0378,S,348985946
2021-10-01 07:44:14,00,D88039EC48E0,0015,1B,0D,11,12,1,17,971075,13,00,28, 3969,33,0378,S,348986779
2021-10-01 07:45:54,00,D88039EC48E0,0015,1B,2A,11,12,1,17,971052,13,00,28, 4278,33,0378,S,348987861
2021-10-01 07:47:10,00,D88039EC48E0,0015,1B,B0,11,12,1,17,971052,13,00,28, 4513,33,0378,S,348988637
2021-10-01 07:47:34,00,D88039EC48E0,0015,1B,23,11,12,1,17,971052,13,00,28, 4587,33,0378,S,348988873
2021-10-01 07:50:00,00,D88039EC48E0,0015,1B,02,11,12,1,17,971059,13,00,28, 4896,33,0378,S,348990329
2021-10-01 07:52:10,00,D88039EC48E0,0015,1B,90,11,12,1,17,971062,13,00,28, 5165,33,0378,S,348991639
2021-10-01 07:52:30,00,D88039EC48E0,0015,1B,F0,11,12,1,17,971062,13,00,28, 5205,33,0378,S,348991834
2021-10-01 07:54:59,00,D88039EC48E0,0015,1B,35,11,12,1,17,971065,13,00,28, 5514,33,0378,S,348993504
