ChargerId,RegDt,Send,msg,msgId
801F1263B190,9/6/21 23:24,R,   00 80 1F 12 63 B1 90 00    0E 15 63 0A 01 0A 09 E1    C1 03 00 33 03 05 8A    ,327305560
801F1263B190,9/6/21 23:24,S,   00 80 1F 12 63 B1 90 00    0B 1A DA 07 12 00 13 00    33 03 05 A5             ,327305573
801F1263B190,9/6/21 23:34,R,   00 80 1F 12 63 B1 90 00    0E 15 64 0A 01 0A 09 E1    C1 03 00 33 03 05 89    ,327311958
801F1263B190,9/6/21 23:34,S,   00 80 1F 12 63 B1 90 00    0B 1A 61 07 12 00 13 00    33 03 05 1E             ,327311973
801F1263B190,9/6/21 23:44,R,   00 80 1F 12 63 B1 90 00    0E 15 65 0A 01 0A 09 E1    C1 03 00 33 03 05 88    ,327318359
801F1263B190,9/6/21 23:44,S,   00 80 1F 12 63 B1 90 00    0B 1A EF 07 12 00 13 00    33 03 05 90             ,327318375
801F1263B190,9/6/21 23:54,R,   00 80 1F 12 63 B1 90 00    0E 15 66 0A 01 0A 09 E1    C1 03 00 33 03 05 87    ,327324754
801F1263B190,9/6/21 23:54,S,   00 80 1F 12 63 B1 90 00    0B 1A 74 07 12 00 13 00    33 03 05 0B             ,327324771
801F1263B190,9/7/21 0:04,R,   00 80 1F 12 63 B1 90 00    0E 15 67 0A 01 0A 09 E1    C1 03 00 33 03 05 86    ,327331114
801F1263B190,9/7/21 0:04,S,   00 80 1F 12 63 B1 90 00    0B 1A E7 07 12 00 13 00    33 03 05 98             ,327331131
801F1263B190,9/7/21 0:14,R,   00 80 1F 12 63 B1 90 00    0E 15 68 0A 01 0A 09 E1    C1 03 00 33 03 05 85    ,327337433
801F1263B190,9/7/21 0:14,S,   00 80 1F 12 63 B1 90 00    0B 1A 46 07 12 00 13 00    33 03 05 39             ,327337453
801F1263B190,9/7/21 0:24,R,   00 80 1F 12 63 B1 90 00    0E 15 69 0A 01 0A 09 E1    C1 03 00 33 03 05 84    ,327343684
801F1263B190,9/7/21 0:24,S,   00 80 1F 12 63 B1 90 00    0B 1A 83 07 12 00 13 00    33 03 05 FC             ,327343701
801F1263B190,9/7/21 0:34,R,   00 80 1F 12 63 B1 90 00    0E 15 6A 0A 01 0A 09 E1    C1 03 00 33 03 05 83    ,327349889
801F1263B190,9/7/21 0:34,S,   00 80 1F 12 63 B1 90 00    0B 1A A8 07 12 00 13 00    33 03 05 D7             ,327349904
801F1263B190,9/7/21 0:44,R,   00 80 1F 12 63 B1 90 00    0E 15 6B 0A 01 0A 09 E1    C1 03 00 33 03 05 82    ,327356042
801F1263B190,9/7/21 0:44,S,   00 80 1F 12 63 B1 90 00    0B 1A AE 07 12 00 13 00    33 03 05 D1             ,327356055
801F1263B190,9/7/21 0:54,R,   00 80 1F 12 63 B1 90 00    0E 15 6C 0A 01 0A 09 E1    C1 03 00 33 03 05 81    ,327362201
801F1263B190,9/7/21 0:54,S,   00 80 1F 12 63 B1 90 00    0B 1A BB 07 12 00 13 00    33 03 05 C4             ,327362210
801F1263B190,9/7/21 1:04,R,   00 80 1F 12 63 B1 90 00    0E 15 6D 0A 01 0A 09 E1    C1 03 00 33 03 05 80    ,327368274
801F1263B190,9/7/21 1:04,S,   00 80 1F 12 63 B1 90 00    0B 1A 9B 07 12 00 13 00    33 03 05 E4             ,327368285
801F1263B190,9/7/21 1:14,R,   00 80 1F 12 63 B1 90 00    0E 15 6E 0A 01 0A 09 E1    C1 03 00 33 03 05 7F    ,327374346
801F1263B190,9/7/21 1:14,S,   00 80 1F 12 63 B1 90 00    0B 1A 79 07 12 00 13 00    33 03 05 06             ,327374357
801F1263B190,9/7/21 1:24,R,   00 80 1F 12 63 B1 90 00    0E 15 6F 0A 01 0A 09 E1    C1 03 00 33 03 05 7E    ,327380423
801F1263B190,9/7/21 1:24,S,   00 80 1F 12 63 B1 90 00    0B 1A 5A 07 12 00 13 00    33 03 05 25             ,327380432
801F1263B190,9/7/21 1:34,R,   00 80 1F 12 63 B1 90 00    0E 15 70 0A 01 0A 09 E1    C1 03 00 33 03 05 7D    ,327386511
801F1263B190,9/7/21 1:34,S,   00 80 1F 12 63 B1 90 00    0B 1A 42 07 12 00 13 00    33 03 05 3D             ,327386519
801F1263B190,9/7/21 1:44,R,   00 80 1F 12 63 B1 90 00    0E 15 71 0A 01 0A 09 E1    C1 03 00 33 03 05 7C    ,327392623
801F1263B190,9/7/21 1:44,S,   00 80 1F 12 63 B1 90 00    0B 1A 38 07 12 00 13 00    33 03 05 47             ,327392631
801F1263B190,9/7/21 1:54,R,   00 80 1F 12 63 B1 90 00    0E 15 72 0A 01 0A 09 E1    C1 03 00 33 03 05 7B    ,327398672
801F1263B190,9/7/21 1:54,S,   00 80 1F 12 63 B1 90 00    0B 1A 0B 07 12 00 13 00    33 03 05 74             ,327398677
801F1263B190,9/7/21 2:04,R,   00 80 1F 12 63 B1 90 00    0E 15 73 0A 01 0A 09 E1    C1 03 00 33 03 05 7A    ,327404656
801F1263B190,9/7/21 2:04,S,   00 80 1F 12 63 B1 90 00    0B 1A BF 07 12 00 13 00    33 03 05 C0             ,327404662
801F1263B190,9/7/21 2:14,R,   00 80 1F 12 63 B1 90 00    0E 15 74 0A 01 0A 09 E1    C1 03 00 33 03 05 79    ,327410691
801F1263B190,9/7/21 2:14,S,   00 80 1F 12 63 B1 90 00    0B 1A 8E 07 12 00 13 00    33 03 05 F1             ,327410702
801F1263B190,9/7/21 2:24,R,   00 80 1F 12 63 B1 90 00    0E 15 75 0A 01 0A 09 E1    C1 03 00 33 03 05 78    ,327416675
801F1263B190,9/7/21 2:24,S,   00 80 1F 12 63 B1 90 00    0B 1A 42 07 12 00 13 00    33 03 05 3D             ,327416690
801F1263B190,9/7/21 2:34,R,   00 80 1F 12 63 B1 90 00    0E 15 76 0A 01 0A 09 E1    C1 03 00 33 03 05 77    ,327422693
801F1263B190,9/7/21 2:34,S,   00 80 1F 12 63 B1 90 00    0B 1A 06 07 12 00 13 00    33 03 05 79             ,327422707
801F1263B190,9/7/21 2:44,R,   00 80 1F 12 63 B1 90 00    0E 15 77 0A 01 0A 09 E1    C1 03 00 33 03 05 76    ,327428656
801F1263B190,9/7/21 2:44,S,   00 80 1F 12 63 B1 90 00    0B 1A B2 07 12 00 13 00    33 03 05 CD             ,327428670
801F1263B190,9/7/21 2:54,R,   00 80 1F 12 63 B1 90 00    0E 15 78 0A 01 0A 09 E1    C1 03 00 33 03 05 75    ,327434639
801F1263B190,9/7/21 2:54,S,   00 80 1F 12 63 B1 90 00    0B 1A 66 07 12 00 13 00    33 03 05 19             ,327434655
801F1263B190,9/7/21 3:01,R,   00 80 1F 12 63 B1 90 00    0E 15 79 0A 01 05 09 E1    C1 03 00 33 03 05 79    ,327438609
801F1263B190,9/7/21 3:01,S,   00 80 1F 12 63 B1 90 00    0B 1A 26 07 12 00 13 00    33 03 05 59             ,327438616
801F1263B190,9/7/21 3:01,R,   00 80 1F 12 63 B1 90 00    0E 15 7A 0A 01 0A 09 E1    C1 03 00 33 03 05 73    ,327438649
801F1263B190,9/7/21 3:01,S,   00 80 1F 12 63 B1 90 00    0B 1A 3D 07 12 00 13 00    33 03 05 42             ,327438664
801F1263B190,9/7/21 3:11,R,   00 80 1F 12 63 B1 90 00    0E 15 7B 0A 01 0A 09 E1    C1 03 00 33 03 05 72    ,327444702
801F1263B190,9/7/21 3:11,S,   00 80 1F 12 63 B1 90 00    0B 1A 0F 07 12 00 13 00    33 03 05 70             ,327444712
801F1263B190,9/7/21 3:21,R,   00 80 1F 12 63 B1 90 00    0E 15 7C 0A 01 0A 09 E1    C1 03 00 33 03 05 71    ,327450663
801F1263B190,9/7/21 3:21,S,   00 80 1F 12 63 B1 90 00    0B 1A B7 07 12 00 13 00    33 03 05 C8             ,327450676
801F1263B190,9/7/21 3:31,R,   00 80 1F 12 63 B1 90 00    0E 15 7D 0A 01 0A 09 E1    C1 03 00 33 03 05 70    ,327456595
