RegDt,ServerId,ChargerId,Length,MessageType,SequenceNumber,DataLength,DeviceStatus_type,DeviceStatus,AccessId_type,AccessId,ChargerNumber_type,ChargerNumber,Send,msgId
2021-09-06 23:24:30,00,801F1263B190,000E,15,63,0A,01,충전케이블 분리 (idle),09,3787522816,33,0305,R,327305560
2021-09-06 23:34:30,00,801F1263B190,000E,15,64,0A,01,충전케이블 분리 (idle),09,3787522816,33,0305,R,327311958
2021-09-06 23:44:31,00,801F1263B190,000E,15,65,0A,01,충전케이블 분리 (idle),09,3787522816,33,0305,R,327318359
2021-09-06 23:54:31,00,801F1263B190,000E,15,66,0A,01,충전케이블 분리 (idle),09,3787522816,33,0305,R,327324754
2021-09-07 00:04:32,00,801F1263B190,000E,15,67,0A,01,충전케이블 분리 (idle),09,3787522816,33,0305,R,327331114
2021-09-07 00:14:32,00,801F1263B190,000E,15,68,0A,01,충전케이블 분리 (idle),09,3787522816,33,0305,R,327337433
2021-09-07 00:24:32,00,801F1263B190,000E,15,69,0A,01,충전케이블 분리 (idle),09,3787522816,33,0305,R,327343684
2021-09-07 00:34:33,00,801F1263B190,000E,15,6A,0A,01,충전케이블 분리 (idle),09,3787522816,33,0305,R,327349889
2021-09-07 00:44:33,00,801F1263B190,000E,15,6B,0A,01,충전케이블 분리 (idle),09,3787522816,33,0305,R,327356042
2021-09-07 00:54:34,00,801F1263B190,000E,15,6C,0A,01,충전케이블 분리 (idle),09,3787522816,33,0305,R,327362201
2021-09-07 01:04:34,00,801F1263B190,000E,15,6D,0A,01,충전케이블 분리 (idle),09,3787522816,33,0305,R,327368274
2021-09-07 01:14:35,00,801F1263B190,000E,15,6E,0A,01,충전케이블 분리 (idle),09,3787522816,33,0305,R,327374346
2021-09-07 01:24:35,00,801F1263B190,000E,15,6F,0A,01,충전케이블 분리 (idle),09,3787522816,33,0305,R,327380423
2021-09-07 01:34:35,00,801F1263B190,000E,15,70,0A,01,충전케이블 분리 (idle),09,3787522816,33,0305,R,327386511
2021-09-07 01:44:36,00,801F1263B190,000E,15,71,0A,01,충전케이블 분리 (idle),09,3787522816,33,0305,R,327392623
2021-09-07 01:54:36,00,801F1263B190,000E,15,72,0A,01,충전케이블 분리 (idle),09,3787522816,33,0305,R,327398672
2021-09-07 02:04:37,00,801F1263B190,000E,15,73,0A,01,충전케이블 분리 (idle),09,3787522816,33,0305,R,327404656
2021-09-07 02:14:37,00,801F1263B190,000E,15,74,0A,01,충전케이블 분리 (idle),09,3787522816,33,0305,R,327410691
2021-09-07 02:24:37,00,801F1263B190,000E,15,75,0A,01,충전케이블 분리 (idle),09,3787522816,33,0305,R,327416675
2021-09-07 02:34:38,00,801F1263B190,000E,15,76,0A,01,충전케이블 분리 (idle),09,3787522816,33,0305,R,327422693
2021-09-07 02:44:38,00,801F1263B190,000E,15,77,0A,01,충전케이블 분리 (idle),09,3787522816,33,0305,R,327428656
2021-09-07 02:54:39,00,801F1263B190,000E,15,78,0A,01,충전케이블 분리 (idle),09,3787522816,33,0305,R,327434639
2021-09-07 03:01:20,00,801F1263B190,000E,15,79,0A,01,Error,09,3787522816,33,0305,R,327438609
2021-09-07 03:01:24,00,801F1263B190,000E,15,7A,0A,01,충전케이블 분리 (idle),09,3787522816,33,0305,R,327438649
2021-09-07 03:11:25,00,801F1263B190,000E,15,7B,0A,01,충전케이블 분리 (idle),09,3787522816,33,0305,R,327444702
2021-09-07 03:21:25,00,801F1263B190,000E,15,7C,0A,01,충전케이블 분리 (idle),09,3787522816,33,0305,R,327450663
2021-09-07 03:31:25,00,801F1263B190,000E,15,7D,0A,01,충전케이블 분리 (idle),09,3787522816,33,0305,R,327456595
2021-09-07 03:41:26,00,801F1263B190,000E,15,7E,0A,01,충전케이블 분리 (idle),09,3787522816,33,0305,R,327462472
2021-09-07 03:51:26,00,801F1263B190,000E,15,7F,0A,01,충전케이블 분리 (idle),09,3787522816,33,0305,R,327468447
2021-09-07 04:01:27,00,801F1263B190,000E,15,80,0A,01,충전케이블 분리 (idle),09,3787522816,33,0305,R,327474340
