RegDt,ServerId,ChargerId,Length,MessageType,SequenceNumber,DataLength,MessagePending_type,MessagePending,WakeupInterval_type,WakeupInterval,ChargerNumber_type,ChargerNumber,Send,msgId
2021-09-06 23:32:00,00,D88039EC684A,000B,1A,0F,07,12,0,13,00,33,0408,S,327310271
2021-09-06 23:42:00,00,D88039EC684A,000B,1A,9B,07,12,0,13,00,33,0408,S,327316679
2021-09-06 23:52:00,00,D88039EC684A,000B,1A,2A,07,12,0,13,00,33,0408,S,327323089
2021-09-07 00:02:01,00,D88039EC684A,000B,1A,A0,07,12,0,13,00,33,0408,S,327329456
2021-09-07 00:12:01,00,D88039EC684A,000B,1A,F6,07,12,0,13,00,33,0408,S,327335762
2021-09-07 00:22:01,00,D88039EC684A,000B,1A,43,07,12,0,13,00,33,0408,S,327342043
2021-09-07 00:32:01,00,D88039EC684A,000B,1A,71,07,12,0,13,00,33,0408,S,327348264
2021-09-07 00:42:01,00,D88039EC684A,000B,1A,7C,07,12,0,13,00,33,0408,S,327354424
2021-09-07 00:52:01,00,D88039EC684A,000B,1A,82,07,12,0,13,00,33,0408,S,327360563
2021-09-07 01:02:01,00,D88039EC684A,000B,1A,6A,07,12,0,13,00,33,0408,S,327366656
2021-09-07 01:12:01,00,D88039EC684A,000B,1A,42,07,12,0,13,00,33,0408,S,327372715
2021-09-07 01:22:01,00,D88039EC684A,000B,1A,23,07,12,0,13,00,33,0408,S,327378792
2021-09-07 01:32:01,00,D88039EC684A,000B,1A,0B,07,12,0,13,00,33,0408,S,327384876
2021-09-07 01:42:02,00,D88039EC684A,000B,1A,09,07,12,0,13,00,33,0408,S,327391006
2021-09-07 01:52:02,00,D88039EC684A,000B,1A,EE,07,12,0,13,00,33,0408,S,327397084
2021-09-07 02:02:02,00,D88039EC684A,000B,1A,9E,07,12,0,13,00,33,0408,S,327403061
2021-09-07 02:12:02,00,D88039EC684A,000B,1A,66,07,12,0,13,00,33,0408,S,327409084
2021-09-07 02:22:02,00,D88039EC684A,000B,1A,1D,07,12,0,13,00,33,0408,S,327415079
2021-09-07 02:32:02,00,D88039EC684A,000B,1A,D7,07,12,0,13,00,33,0408,S,327421077
2021-09-07 02:42:02,00,D88039EC684A,000B,1A,8D,07,12,0,13,00,33,0408,S,327427059
2021-09-07 02:52:02,00,D88039EC684A,000B,1A,30,07,12,0,13,00,33,0408,S,327433015
2021-09-07 03:02:02,00,D88039EC684A,000B,1A,00,07,12,0,13,00,33,0408,S,327439055
2021-09-07 03:02:35,00,D88039EC684A,000B,1A,B9,07,12,0,13,00,33,0408,S,327439428
2021-09-07 03:02:40,00,D88039EC684A,000B,1A,D6,07,12,0,13,00,33,0408,S,327439484
2021-09-07 03:12:41,00,D88039EC684A,000B,1A,9B,07,12,0,13,00,33,0408,S,327445511
2021-09-07 03:22:41,00,D88039EC684A,000B,1A,48,07,12,0,13,00,33,0408,S,327451478
2021-09-07 03:32:41,00,D88039EC684A,000B,1A,D7,07,12,0,13,00,33,0408,S,327457392
2021-09-07 03:42:41,00,D88039EC684A,000B,1A,5F,07,12,0,13,00,33,0408,S,327463292
2021-09-07 03:52:41,00,D88039EC684A,000B,1A,06,07,12,0,13,00,33,0408,S,327469244
2021-09-07 04:02:41,00,D88039EC684A,000B,1A,89,07,12,0,13,00,33,0408,S,327475133
2021-09-07 04:12:41,00,D88039EC684A,000B,1A,04,07,12,0,13,00,33,0408,S,327481007
2021-09-07 04:22:41,00,D88039EC684A,000B,1A,67,07,12,0,13,00,33,0408,S,327486833
2021-09-07 04:32:42,00,D88039EC684A,000B,1A,E9,07,12,0,13,00,33,0408,S,327492717
2021-09-07 04:42:42,00,D88039EC684A,000B,1A,62,07,12,0,13,00,33,0408,S,327498581
2021-09-07 04:52:42,00,D88039EC684A,000B,1A,AA,07,12,0,13,00,33,0408,S,327504359
2021-09-07 05:02:42,00,D88039EC684A,000B,1A,10,07,12,0,13,00,33,0408,S,327510187
2021-09-07 05:12:42,00,D88039EC684A,000B,1A,88,07,12,0,13,00,33,0408,S,327516053
2021-09-07 05:22:42,00,D88039EC684A,000B,1A,E8,07,12,0,13,00,33,0408,S,327521875
2021-09-07 05:32:42,00,D88039EC684A,000B,1A,59,07,12,0,13,00,33,0408,S,327527726
2021-09-07 05:42:42,00,D88039EC684A,000B,1A,CB,07,12,0,13,00,33,0408,S,327533581
2021-09-07 05:52:43,00,D88039EC684A,000B,1A,32,07,12,0,13,00,33,0408,S,327539417
2021-09-07 06:02:43,00,D88039EC684A,000B,1A,8F,07,12,0,13,00,33,0408,S,327545231
2021-09-07 06:12:43,00,D88039EC684A,000B,1A,D6,07,12,0,13,00,33,0408,S,327551000
2021-09-07 06:22:43,00,D88039EC684A,000B,1A,28,07,12,0,13,00,33,0408,S,327556793
2021-09-07 06:32:43,00,D88039EC684A,000B,1A,80,07,12,0,13,00,33,0408,S,327562593
2021-09-07 06:42:43,00,D88039EC684A,000B,1A,FA,07,12,0,13,00,33,0408,S,327568463
2021-09-07 06:52:43,00,D88039EC684A,000B,1A,6B,07,12,0,13,00,33,0408,S,327574313
2021-09-07 07:02:43,00,D88039EC684A,000B,1A,D8,07,12,0,13,00,33,0408,S,327580157
2021-09-07 07:12:43,00,D88039EC684A,000B,1A,43,07,12,0,13,00,33,0408,S,327586004
2021-09-07 07:22:43,00,D88039EC684A,000B,1A,CD,07,12,0,13,00,33,0408,S,327591899
2021-09-07 07:32:44,00,D88039EC684A,000B,1A,3A,07,12,0,13,00,33,0408,S,327597746
2021-09-07 07:42:44,00,D88039EC684A,000B,1A,B3,07,12,0,13,00,33,0408,S,327603616
2021-09-07 07:52:44,00,D88039EC684A,000B,1A,27,07,12,0,13,00,33,0408,S,327609476
2021-09-07 08:02:44,00,D88039EC684A,000B,1A,BB,07,12,0,13,00,33,0408,S,327615394
2021-09-07 08:12:44,00,D88039EC684A,000B,1A,31,07,12,0,13,00,33,0408,S,327621254
2021-09-07 08:22:44,00,D88039EC684A,000B,1A,AD,07,12,0,13,00,33,0408,S,327627125
2021-09-07 08:32:44,00,D88039EC684A,000B,1A,48,07,12,0,13,00,33,0408,S,327633058
2021-09-07 08:42:44,00,D88039EC684A,000B,1A,C1,07,12,0,13,00,33,0408,S,327638924
2021-09-07 08:52:45,00,D88039EC684A,000B,1A,6B,07,12,0,13,00,33,0408,S,327644886
2021-09-07 09:02:45,00,D88039EC684A,000B,1A,EB,07,12,0,13,00,33,0408,S,327650766
2021-09-07 09:12:45,00,D88039EC684A,000B,1A,8A,07,12,0,13,00,33,0408,S,327656707
2021-09-07 09:22:45,00,D88039EC684A,000B,1A,42,07,12,0,13,00,33,0408,S,327662698
2021-09-07 09:32:45,00,D88039EC684A,000B,1A,FD,07,12,0,13,00,33,0408,S,327668692
2021-09-07 09:42:45,00,D88039EC684A,000B,1A,78,07,12,0,13,00,33,0408,S,327674562
2021-09-07 09:52:45,00,D88039EC684A,000B,1A,0C,07,12,0,13,00,33,0408,S,327680483
