RegDt,ServerId,ChargerId,Length,MessageType,SequenceNumber,DataLength,DeviceStatus_type,DeviceStatus,AccessId_type,AccessId,ChargerNumber_type,ChargerNumber,Send,msgId
2021-09-06 23:31:00,00,D88039EC686C,000E,15,F5,0A,01,충전케이블 분리 (idle),09,2562851584,33,0405,R,327309691
2021-09-06 23:41:00,00,D88039EC686C,000E,15,F6,0A,01,충전케이블 분리 (idle),09,2562851584,33,0405,R,327316088
2021-09-06 23:48:00,00,D88039EC686C,000E,15,F7,0A,01,시작버튼 누름,09,2562851584,33,0405,R,327320901
2021-09-06 23:49:00,00,D88039EC686C,000E,15,F8,0A,01,시작버튼 누름,09,2562851584,33,0405,R,327321333
2021-09-06 23:51:00,00,D88039EC686C,000E,15,F9,0A,01,충전케이블 분리 (idle),09,2562851584,33,0405,R,327322804
2021-09-07 00:01:00,00,D88039EC686C,000E,15,FA,0A,01,충전케이블 분리 (idle),09,2562851584,33,0405,R,327329177
2021-09-07 00:11:00,00,D88039EC686C,000E,15,FB,0A,01,충전케이블 분리 (idle),09,2562851584,33,0405,R,327335482
2021-09-07 00:21:00,00,D88039EC686C,000E,15,FC,0A,01,충전케이블 분리 (idle),09,2562851584,33,0405,R,327341776
2021-09-07 00:31:00,00,D88039EC686C,000E,15,FD,0A,01,충전케이블 분리 (idle),09,2562851584,33,0405,R,327348010
2021-09-07 00:41:00,00,D88039EC686C,000E,15,FE,0A,01,충전케이블 분리 (idle),09,2562851584,33,0405,R,327354183
2021-09-07 00:51:00,00,D88039EC686C,000E,15,FF,0A,01,충전케이블 분리 (idle),09,2562851584,33,0405,R,327360318
2021-09-07 01:01:00,00,D88039EC686C,000E,15,00,0A,01,충전케이블 분리 (idle),09,2562851584,33,0405,R,327366416
2021-09-07 01:11:00,00,D88039EC686C,000E,15,01,0A,01,충전케이블 분리 (idle),09,2562851584,33,0405,R,327372486
2021-09-07 01:21:00,00,D88039EC686C,000E,15,02,0A,01,충전케이블 분리 (idle),09,2562851584,33,0405,R,327378555
