RegDt,ServerId,ChargerId,Length,MessageType,SequenceNumber,DataLength,MessagePending_type,MessagePending,WakeupInterval_type,WakeupInterval,ChargerNumber_type,ChargerNumber,Send,msgId
2021-09-06 23:31:00,00,D88039EC686C,000B,1A,F1,07,12,0,13,00,33,0405,S,327309702
2021-09-06 23:41:00,00,D88039EC686C,000B,1A,7A,07,12,0,13,00,33,0405,S,327316098
2021-09-06 23:48:00,00,D88039EC686C,000B,1A,E7,07,12,0,13,00,33,0405,S,327320914
2021-09-06 23:49:00,00,D88039EC686C,000B,1A,C0,07,12,0,13,00,33,0405,S,327321347
2021-09-06 23:51:00,00,D88039EC686C,000B,1A,A2,07,12,0,13,00,33,0405,S,327322815
2021-09-07 00:01:00,00,D88039EC686C,000B,1A,1B,07,12,0,13,00,33,0405,S,327329190
2021-09-07 00:11:00,00,D88039EC686C,000B,1A,71,07,12,0,13,00,33,0405,S,327335495
2021-09-07 00:21:00,00,D88039EC686C,000B,1A,C6,07,12,0,13,00,33,0405,S,327341791
2021-09-07 00:31:00,00,D88039EC686C,000B,1A,F8,07,12,0,13,00,33,0405,S,327348020
2021-09-07 00:41:00,00,D88039EC686C,000B,1A,0C,07,12,0,13,00,33,0405,S,327354196
2021-09-07 00:51:00,00,D88039EC686C,000B,1A,0C,07,12,0,13,00,33,0405,S,327360330
2021-09-07 01:01:00,00,D88039EC686C,000B,1A,F9,07,12,0,13,00,33,0405,S,327366428
2021-09-07 01:11:00,00,D88039EC686C,000B,1A,D5,07,12,0,13,00,33,0405,S,327372500
2021-09-07 01:21:00,00,D88039EC686C,000B,1A,B2,07,12,0,13,00,33,0405,S,327378570
2021-09-07 01:31:00,00,D88039EC686C,000B,1A,93,07,12,0,13,00,33,0405,S,327384641
2021-09-07 01:41:00,00,D88039EC686C,000B,1A,A6,07,12,0,13,00,33,0405,S,327390806
2021-09-07 01:51:00,00,D88039EC686C,000B,1A,85,07,12,0,13,00,33,0405,S,327396879
2021-09-07 02:01:00,00,D88039EC686C,000B,1A,3C,07,12,0,13,00,33,0405,S,327402869
2021-09-07 02:11:00,00,D88039EC686C,000B,1A,05,07,12,0,13,00,33,0405,S,327408896
2021-09-07 02:21:00,00,D88039EC686C,000B,1A,C2,07,12,0,13,00,33,0405,S,327414897
2021-09-07 02:31:00,00,D88039EC686C,000B,1A,80,07,12,0,13,00,33,0405,S,327420903
2021-09-07 02:41:00,00,D88039EC686C,000B,1A,3F,07,12,0,13,00,33,0405,S,327426904
2021-09-07 02:51:00,00,D88039EC686C,000B,1A,E2,07,12,0,13,00,33,0405,S,327432857
2021-09-07 03:01:00,00,D88039EC686C,000B,1A,22,07,12,0,13,00,33,0405,S,327438608
2021-09-07 03:01:00,00,D88039EC686C,000B,1A,33,07,12,0,13,00,33,0405,S,327438648
2021-09-07 03:11:00,00,D88039EC686C,000B,1A,0A,07,12,0,13,00,33,0405,S,327444701
2021-09-07 03:21:00,00,D88039EC686C,000B,1A,AF,07,12,0,13,00,33,0405,S,327450658
2021-09-07 03:31:00,00,D88039EC686C,000B,1A,44,07,12,0,13,00,33,0405,S,327456583
2021-09-07 03:41:00,00,D88039EC686C,000B,1A,C5,07,12,0,13,00,33,0405,S,327462470
2021-09-07 03:51:00,00,D88039EC686C,000B,1A,79,07,12,0,13,00,33,0405,S,327468448
2021-09-07 04:01:00,00,D88039EC686C,000B,1A,FD,07,12,0,13,00,33,0405,S,327474338
2021-09-07 04:11:00,00,D88039EC686C,000B,1A,77,07,12,0,13,00,33,0405,S,327480211
2021-09-07 04:21:00,00,D88039EC686C,000B,1A,E7,07,12,0,13,00,33,0405,S,327486062
2021-09-07 04:31:00,00,D88039EC686C,000B,1A,5D,07,12,0,13,00,33,0405,S,327491922
2021-09-07 04:41:00,00,D88039EC686C,000B,1A,CF,07,12,0,13,00,33,0405,S,327497777
2021-09-07 04:51:00,00,D88039EC686C,000B,1A,28,07,12,0,13,00,33,0405,S,327503584
2021-09-07 05:01:00,00,D88039EC686C,000B,1A,86,07,12,0,13,00,33,0405,S,327509404
2021-09-07 05:11:00,00,D88039EC686C,000B,1A,08,07,12,0,13,00,33,0405,S,327515291
2021-09-07 05:21:00,00,D88039EC686C,000B,1A,68,07,12,0,13,00,33,0405,S,327521109
2021-09-07 05:31:00,00,D88039EC686C,000B,1A,E3,07,12,0,13,00,33,0405,S,327526980
2021-09-07 05:41:00,00,D88039EC686C,000B,1A,53,07,12,0,13,00,33,0405,S,327532827
2021-09-07 05:51:00,00,D88039EC686C,000B,1A,C0,07,12,0,13,00,33,0405,S,327538676
2021-09-07 06:01:00,00,D88039EC686C,000B,1A,2A,07,12,0,13,00,33,0405,S,327544518
2021-09-07 06:11:00,00,D88039EC686C,000B,1A,71,07,12,0,13,00,33,0405,S,327550288
2021-09-07 06:21:00,00,D88039EC686C,000B,1A,D1,07,12,0,13,00,33,0405,S,327556105
2021-09-07 06:31:00,00,D88039EC686C,000B,1A,1D,07,12,0,13,00,33,0405,S,327561885
2021-09-07 06:41:00,00,D88039EC686C,000B,1A,95,07,12,0,13,00,33,0405,S,327567753
2021-09-07 06:51:00,00,D88039EC686C,000B,1A,18,07,12,0,13,00,33,0405,S,327573636
2021-09-07 07:01:00,00,D88039EC686C,000B,1A,89,07,12,0,13,00,33,0405,S,327579485
2021-09-07 07:11:00,00,D88039EC686C,000B,1A,FB,07,12,0,13,00,33,0405,S,327585343
2021-09-07 07:21:00,00,D88039EC686C,000B,1A,76,07,12,0,13,00,33,0405,S,327591219
2021-09-07 07:31:00,00,D88039EC686C,000B,1A,F5,07,12,0,13,00,33,0405,S,327597098
2021-09-07 07:41:00,00,D88039EC686C,000B,1A,76,07,12,0,13,00,33,0405,S,327602989
