RegDt,ServerId,ChargerId,Length,MessageType,SequenceNumber,DataLength,MessagePending_type,MessagePending,RequireWatt_type,RequireWatt,WakeupInterval_type,WakeupInterval,ChargingFee_type,ChargingFee,ChargerNumber_type,ChargerNumber,Send,msgId
2021-09-07 10:58:21,00,D88039EC686C,0015,1B,23,11,12,1,17,3000000,13,00,28,    0,33,0405,S,327719395
2021-09-07 10:58:50,00,D88039EC686C,0015,1B,A7,11,12,1,17,3000000,13,00,28,   68,33,0405,S,327719659
2021-09-07 10:59:14,00,D88039EC686C,0015,1B,0B,11,12,1,17,3000000,13,00,28,  183,33,0405,S,327719860
2021-09-07 10:59:50,00,D88039EC686C,0015,1B,AC,11,12,1,17,3000000,13,00,28,  331,33,0405,S,327720180
2021-09-07 11:00:38,00,D88039EC686C,0015,1B,7E,11,12,1,17,833837,13,00,28,  543,33,0405,S,327720599
2021-09-07 11:02:02,00,D88039EC686C,0015,1B,19,11,12,1,17,833837,13,00,28,  903,33,0405,S,327721417
2021-09-07 11:03:25,00,D88039EC686C,0015,1B,D7,11,12,1,17,833847,13,00,28, 1263,33,0405,S,327722312
2021-09-07 11:04:47,00,D88039EC686C,0015,1B,86,11,12,1,17,833847,13,00,28, 1623,33,0405,S,327723168
2021-09-07 11:04:50,00,D88039EC686C,0015,1B,94,11,12,1,17,833847,13,00,28, 1631,33,0405,S,327723196
2021-09-07 11:06:10,00,D88039EC686C,0015,1B,38,11,12,1,17,833847,13,00,28, 1987,33,0405,S,327724034
2021-09-07 11:07:31,00,D88039EC686C,0015,1B,CA,11,12,1,17,833833,13,00,28, 2343,33,0405,S,327724840
2021-09-07 11:08:52,00,D88039EC686C,0015,1B,3F,11,12,1,17,833833,13,00,28, 2703,33,0405,S,327725584
2021-09-07 11:09:50,00,D88039EC686C,0015,1B,38,11,12,1,17,833847,13,00,28, 2956,33,0405,S,327726085
2021-09-07 11:10:13,00,D88039EC686C,0015,1B,9F,11,12,1,17,833847,13,00,28, 3063,33,0405,S,327726285
2021-09-07 11:11:33,00,D88039EC686C,0015,1B,24,11,12,1,17,833847,13,00,28, 3423,33,0405,S,327727069
2021-09-07 11:11:50,00,D88039EC686C,0015,1B,6E,11,12,1,17,833847,13,00,28, 3488,33,0405,S,327727214
2021-09-07 16:54:51,00,D88039EC686C,0015,1B,53,11,12,1,17,3000000,13,00,28,    0,33,0405,S,327931668
2021-09-07 16:55:20,00,D88039EC686C,0015,1B,FA,11,12,1,17,3000000,13,00,28,   67,33,0405,S,327932002
2021-09-07 16:56:09,00,D88039EC686C,0015,1B,08,11,12,1,17,3000000,13,00,28,  234,33,0405,S,327932544
2021-09-07 16:56:20,00,D88039EC686C,0015,1B,46,11,12,1,17,3000000,13,00,28,  264,33,0405,S,327932665
2021-09-07 16:57:39,00,D88039EC686C,0015,1B,D5,11,12,1,17,1024726,13,00,28,  527,33,0405,S,327933462
2021-09-07 16:59:08,00,D88039EC686C,0015,1B,60,11,12,1,17,1024726,13,00,28,  823,33,0405,S,327934255
2021-09-07 17:00:36,00,D88039EC686C,0015,1B,0D,11,12,1,17,1024737,13,00,28, 1113,33,0405,S,327935105
2021-09-07 17:01:20,00,D88039EC686C,0015,1B,ED,11,12,1,17,1024737,13,00,28, 1257,33,0405,S,327935551
