ChargerId,RegDt,Send,msg,msgId
D88039EC8125,2021-09-06 23:17:55,R,   00 D8 80 39 EC 81 25 00    0E 15 3C 0A 01 0A 09 E5    C1 03 00 33 03 27 8B    ,327301560
D88039EC8125,2021-09-06 23:17:56,S,   00 D8 80 39 EC 81 25 00    0B 1A 08 07 12 00 13 00    33 03 27 55             ,327301572
D88039EC8125,2021-09-06 23:27:56,R,   00 D8 80 39 EC 81 25 00    0E 15 3D 0A 01 0A 09 E5    C1 03 00 33 03 27 8A    ,327307870
D88039EC8125,2021-09-06 23:27:57,S,   00 D8 80 39 EC 81 25 00    0B 1A 60 07 12 00 13 00    33 03 27 FD             ,327307878
D88039EC8125,2021-09-06 23:37:57,R,   00 D8 80 39 EC 81 25 00    0E 15 3E 0A 01 0A 09 E5    C1 03 00 33 03 27 89    ,327314260
D88039EC8125,2021-09-06 23:37:58,S,   00 D8 80 39 EC 81 25 00    0B 1A E4 07 12 00 13 00    33 03 27 79             ,327314268
D88039EC8125,2021-09-06 23:47:58,R,   00 D8 80 39 EC 81 25 00    0E 15 3F 0A 01 0A 09 E5    C1 03 00 33 03 27 88    ,327320659
D88039EC8125,2021-09-06 23:47:59,S,   00 D8 80 39 EC 81 25 00    0B 1A 6E 07 12 00 13 00    33 03 27 EF             ,327320670
D88039EC8125,2021-09-06 23:57:58,R,   00 D8 80 39 EC 81 25 00    0E 15 40 0A 01 0A 09 E5    C1 03 00 33 03 27 87    ,327327057
D88039EC8125,2021-09-06 23:57:59,S,   00 D8 80 39 EC 81 25 00    0B 1A F3 07 12 00 13 00    33 03 27 6A             ,327327065
D88039EC8125,2021-09-07 00:07:59,R,   00 D8 80 39 EC 81 25 00    0E 15 41 0A 01 0A 09 E5    C1 03 00 33 03 27 86    ,327333405
D88039EC8125,2021-09-07 00:08:00,S,   00 D8 80 39 EC 81 25 00    0B 1A 61 07 12 00 13 00    33 03 27 FC             ,327333415
D88039EC8125,2021-09-07 00:18:00,R,   00 D8 80 39 EC 81 25 00    0E 15 42 0A 01 0A 09 E5    C1 03 00 33 03 27 85    ,327339732
D88039EC8125,2021-09-07 00:18:01,S,   00 D8 80 39 EC 81 25 00    0B 1A C7 07 12 00 13 00    33 03 27 96             ,327339749
D88039EC8125,2021-09-07 00:28:01,R,   00 D8 80 39 EC 81 25 00    0E 15 43 0A 01 0A 09 E5    C1 03 00 33 03 27 84    ,327345945
D88039EC8125,2021-09-07 00:28:02,S,   00 D8 80 39 EC 81 25 00    0B 1A EE 07 12 00 13 00    33 03 27 6F             ,327345959
D88039EC8125,2021-09-07 00:38:02,R,   00 D8 80 39 EC 81 25 00    0E 15 44 0A 01 0A 09 E5    C1 03 00 33 03 27 83    ,327352157
D88039EC8125,2021-09-07 00:38:03,S,   00 D8 80 39 EC 81 25 00    0B 1A 13 07 12 00 13 00    33 03 27 4A             ,327352167
D88039EC8125,2021-09-07 00:48:03,R,   00 D8 80 39 EC 81 25 00    0E 15 45 0A 01 0A 09 E5    C1 03 00 33 03 27 82    ,327358276
D88039EC8125,2021-09-07 00:48:04,S,   00 D8 80 39 EC 81 25 00    0B 1A 0E 07 12 00 13 00    33 03 27 4F             ,327358286
D88039EC8125,2021-09-07 00:58:04,R,   00 D8 80 39 EC 81 25 00    0E 15 46 0A 01 0A 09 E5    C1 03 00 33 03 27 81    ,327364442
D88039EC8125,2021-09-07 00:58:05,S,   00 D8 80 39 EC 81 25 00    0B 1A 1C 07 12 00 13 00    33 03 27 41             ,327364449
D88039EC8125,2021-09-07 01:08:04,R,   00 D8 80 39 EC 81 25 00    0E 15 47 0A 01 0A 09 E5    C1 03 00 33 03 27 80    ,327370510
D88039EC8125,2021-09-07 01:08:05,S,   00 D8 80 39 EC 81 25 00    0B 1A F9 07 12 00 13 00    33 03 27 64             ,327370517
D88039EC8125,2021-09-07 01:18:05,R,   00 D8 80 39 EC 81 25 00    0E 15 48 0A 01 0A 09 E5    C1 03 00 33 03 27 7F    ,327376597
D88039EC8125,2021-09-07 01:18:06,S,   00 D8 80 39 EC 81 25 00    0B 1A DF 07 12 00 13 00    33 03 27 7E             ,327376607
D88039EC8125,2021-09-07 01:28:06,R,   00 D8 80 39 EC 81 25 00    0E 15 49 0A 01 0A 09 E5    C1 03 00 33 03 27 7E    ,327382660
D88039EC8125,2021-09-07 01:28:07,S,   00 D8 80 39 EC 81 25 00    0B 1A BA 07 12 00 13 00    33 03 27 A3             ,327382670
D88039EC8125,2021-09-07 01:38:07,R,   00 D8 80 39 EC 81 25 00    0E 15 4A 0A 01 0A 09 E5    C1 03 00 33 03 27 7D    ,327388773
D88039EC8125,2021-09-07 01:38:08,S,   00 D8 80 39 EC 81 25 00    0B 1A AE 07 12 00 13 00    33 03 27 AF             ,327388779
D88039EC8125,2021-09-07 01:48:08,R,   00 D8 80 39 EC 81 25 00    0E 15 4B 0A 01 0A 09 E5    C1 03 00 33 03 27 7C    ,327394876
D88039EC8125,2021-09-07 01:48:09,S,   00 D8 80 39 EC 81 25 00    0B 1A A0 07 12 00 13 00    33 03 27 BD             ,327394887
D88039EC8125,2021-09-07 01:58:09,R,   00 D8 80 39 EC 81 25 00    0E 15 4C 0A 01 0A 09 E5    C1 03 00 33 03 27 7B    ,327400873
D88039EC8125,2021-09-07 01:58:10,S,   00 D8 80 39 EC 81 25 00    0B 1A 5B 07 12 00 13 00    33 03 27 02             ,327400886
D88039EC8125,2021-09-07 02:08:09,R,   00 D8 80 39 EC 81 25 00    0E 15 4D 0A 01 0A 09 E5    C1 03 00 33 03 27 7A    ,327406892
D88039EC8125,2021-09-07 02:08:10,S,   00 D8 80 39 EC 81 25 00    0B 1A 21 07 12 00 13 00    33 03 27 3C             ,327406903
D88039EC8125,2021-09-07 02:18:10,R,   00 D8 80 39 EC 81 25 00    0E 15 4E 0A 01 0A 09 E5    C1 03 00 33 03 27 79    ,327412920
D88039EC8125,2021-09-07 02:18:11,S,   00 D8 80 39 EC 81 25 00    0B 1A E9 07 12 00 13 00    33 03 27 74             ,327412932
D88039EC8125,2021-09-07 02:28:11,R,   00 D8 80 39 EC 81 25 00    0E 15 4F 0A 01 0A 09 E5    C1 03 00 33 03 27 78    ,327418907
D88039EC8125,2021-09-07 02:28:12,S,   00 D8 80 39 EC 81 25 00    0B 1A A1 07 12 00 13 00    33 03 27 BC             ,327418924
D88039EC8125,2021-09-07 02:38:12,R,   00 D8 80 39 EC 81 25 00    0E 15 50 0A 01 0A 09 E5    C1 03 00 33 03 27 77    ,327424939
D88039EC8125,2021-09-07 02:38:13,S,   00 D8 80 39 EC 81 25 00    0B 1A 6F 07 12 00 13 00    33 03 27 EE             ,327424955
D88039EC8125,2021-09-07 02:48:13,R,   00 D8 80 39 EC 81 25 00    0E 15 51 0A 01 0A 09 E5    C1 03 00 33 03 27 76    ,327430899
D88039EC8125,2021-09-07 02:48:14,S,   00 D8 80 39 EC 81 25 00    0B 1A 15 07 12 00 13 00    33 03 27 48             ,327430908
