ChargerId,RegDt,Send,msg,msgId
D88039EC8125,9/6/21 23:17,R,   00 D8 80 39 EC 81 25 00    0E 15 3C 0A 01 0A 09 E5    C1 03 00 33 03 27 8B    ,327301560
D88039EC8125,9/6/21 23:17,S,   00 D8 80 39 EC 81 25 00    0B 1A 08 07 12 00 13 00    33 03 27 55             ,327301572
D88039EC8125,9/6/21 23:27,R,   00 D8 80 39 EC 81 25 00    0E 15 3D 0A 01 0A 09 E5    C1 03 00 33 03 27 8A    ,327307870
D88039EC8125,9/6/21 23:27,S,   00 D8 80 39 EC 81 25 00    0B 1A 60 07 12 00 13 00    33 03 27 FD             ,327307878
D88039EC8125,9/6/21 23:37,R,   00 D8 80 39 EC 81 25 00    0E 15 3E 0A 01 0A 09 E5    C1 03 00 33 03 27 89    ,327314260
D88039EC8125,9/6/21 23:37,S,   00 D8 80 39 EC 81 25 00    0B 1A E4 07 12 00 13 00    33 03 27 79             ,327314268
D88039EC8125,9/6/21 23:47,R,   00 D8 80 39 EC 81 25 00    0E 15 3F 0A 01 0A 09 E5    C1 03 00 33 03 27 88    ,327320659
D88039EC8125,9/6/21 23:47,S,   00 D8 80 39 EC 81 25 00    0B 1A 6E 07 12 00 13 00    33 03 27 EF             ,327320670
D88039EC8125,9/6/21 23:57,R,   00 D8 80 39 EC 81 25 00    0E 15 40 0A 01 0A 09 E5    C1 03 00 33 03 27 87    ,327327057
D88039EC8125,9/6/21 23:57,S,   00 D8 80 39 EC 81 25 00    0B 1A F3 07 12 00 13 00    33 03 27 6A             ,327327065
D88039EC8125,9/7/21 0:07,R,   00 D8 80 39 EC 81 25 00    0E 15 41 0A 01 0A 09 E5    C1 03 00 33 03 27 86    ,327333405
D88039EC8125,9/7/21 0:08,S,   00 D8 80 39 EC 81 25 00    0B 1A 61 07 12 00 13 00    33 03 27 FC             ,327333415
D88039EC8125,9/7/21 0:18,R,   00 D8 80 39 EC 81 25 00    0E 15 42 0A 01 0A 09 E5    C1 03 00 33 03 27 85    ,327339732
D88039EC8125,9/7/21 0:18,S,   00 D8 80 39 EC 81 25 00    0B 1A C7 07 12 00 13 00    33 03 27 96             ,327339749
D88039EC8125,9/7/21 0:28,R,   00 D8 80 39 EC 81 25 00    0E 15 43 0A 01 0A 09 E5    C1 03 00 33 03 27 84    ,327345945
D88039EC8125,9/7/21 0:28,S,   00 D8 80 39 EC 81 25 00    0B 1A EE 07 12 00 13 00    33 03 27 6F             ,327345959
D88039EC8125,9/7/21 0:38,R,   00 D8 80 39 EC 81 25 00    0E 15 44 0A 01 0A 09 E5    C1 03 00 33 03 27 83    ,327352157
D88039EC8125,9/7/21 0:38,S,   00 D8 80 39 EC 81 25 00    0B 1A 13 07 12 00 13 00    33 03 27 4A             ,327352167
D88039EC8125,9/7/21 0:48,R,   00 D8 80 39 EC 81 25 00    0E 15 45 0A 01 0A 09 E5    C1 03 00 33 03 27 82    ,327358276
D88039EC8125,9/7/21 0:48,S,   00 D8 80 39 EC 81 25 00    0B 1A 0E 07 12 00 13 00    33 03 27 4F             ,327358286
