RegDt,ServerId,ChargerId,Length,MessageType,SequenceNumber,DataLength,MessagePending_type,MessagePending,RequireWatt_type,RequireWatt,WakeupInterval_type,WakeupInterval,ChargingFee_type,ChargingFee,ChargerNumber_type,ChargerNumber,Send,msgId
2021-09-07 08:36:00,00,D88039EC8125,0015,1B,50,11,12,1,17,2000000,13,00,28,    0,33,0327,S,327635638
2021-09-07 08:37:00,00,D88039EC8125,0015,1B,EF,11,12,1,17,2000000,13,00,28,    0,33,0327,S,327635950
2021-09-07 08:38:00,00,D88039EC8125,0015,1B,05,11,12,1,17,2000000,13,00,28,    0,33,0327,S,327636504
2021-09-07 08:38:00,00,D88039EC8125,0015,1B,15,11,12,1,17,2000000,13,00,28,    0,33,0327,S,327636537
2021-09-07 08:40:00,00,D88039EC8125,0015,1B,B0,11,12,1,17,2000000,13,00,28,    0,33,0327,S,327637868
2021-09-07 08:43:00,00,D88039EC8125,0015,1B,91,11,12,1,17,2000000,13,00,28,    0,33,0327,S,327639341
2021-09-07 08:43:00,00,D88039EC8125,0015,1B,DD,11,12,1,17,2000000,13,00,28,    0,33,0327,S,327639500
2021-09-07 08:48:00,00,D88039EC8125,0015,1B,4B,11,12,1,17,2000000,13,00,28,    0,33,0327,S,327642270
2021-09-07 08:48:00,00,D88039EC8125,0015,1B,85,11,12,1,17,2000000,13,00,28,    0,33,0327,S,327642386
2021-09-07 08:53:00,00,D88039EC8125,0015,1B,3C,11,12,1,17,2000000,13,00,28,    0,33,0327,S,327645304
2021-09-07 08:54:00,00,D88039EC8125,0015,1B,BF,11,12,1,17,2000000,13,00,28,    0,33,0327,S,327646077
2021-09-07 08:58:00,00,D88039EC8125,0015,1B,20,11,12,1,17,2000000,13,00,28,    0,33,0327,S,327648318
2021-09-07 09:01:00,00,D88039EC8125,0015,1B,06,11,12,1,17,2000000,13,00,28,    0,33,0327,S,327649803
2021-09-07 09:03:00,00,D88039EC8125,0015,1B,B8,11,12,1,17,2000000,13,00,28,    0,33,0327,S,327651176
2021-09-07 09:07:00,00,D88039EC8125,0015,1B,B4,11,12,1,17,2000000,13,00,28,    0,33,0327,S,327653729
2021-09-07 09:08:00,00,D88039EC8125,0015,1B,AD,11,12,1,17,2000000,13,00,28,    0,33,0327,S,327654224
2021-09-07 09:13:00,00,D88039EC8125,0015,1B,57,11,12,1,17,2000000,13,00,28,    0,33,0327,S,327657116
2021-09-07 09:13:00,00,D88039EC8125,0015,1B,FC,11,12,1,17,2000000,13,00,28,    0,33,0327,S,327657453
2021-09-07 09:17:00,00,D88039EC8125,0015,1B,51,11,12,1,17,2000000,13,00,28,    0,33,0327,S,327659663
2021-09-07 14:59:00,00,D88039EC8125,0015,1B,A0,11,12,1,17,2000000,13,00,28,    0,33,0327,S,327862320
2021-09-07 15:00:00,00,D88039EC8125,0015,1B,16,11,12,1,17,2000000,13,00,28,    0,33,0327,S,327862560
2021-09-07 15:00:00,00,D88039EC8125,0015,1B,9A,11,12,1,17,2000000,13,00,28,    0,33,0327,S,327862823
2021-09-07 15:01:00,00,D88039EC8125,0015,1B,50,11,12,1,17,2000000,13,00,28,    0,33,0327,S,327863183
