RegDt,ServerId,ChargerId,Length,MessageType,SequenceNumber,DataLength,DeviceStatus_type,DeviceStatus,AccessId_type,AccessId,ChargerNumber_type,ChargerNumber,Send,msgId
2021-09-06 23:17:00,00,D88039EC8125,000E,15,3C,0A,01,충전케이블 분리 (idle),09,3854631680,33,0327,R,327301560
2021-09-06 23:27:00,00,D88039EC8125,000E,15,3D,0A,01,충전케이블 분리 (idle),09,3854631680,33,0327,R,327307870
2021-09-06 23:37:00,00,D88039EC8125,000E,15,3E,0A,01,충전케이블 분리 (idle),09,3854631680,33,0327,R,327314260
2021-09-06 23:47:00,00,D88039EC8125,000E,15,3F,0A,01,충전케이블 분리 (idle),09,3854631680,33,0327,R,327320659
2021-09-06 23:57:00,00,D88039EC8125,000E,15,40,0A,01,충전케이블 분리 (idle),09,3854631680,33,0327,R,327327057
2021-09-07 00:07:00,00,D88039EC8125,000E,15,41,0A,01,충전케이블 분리 (idle),09,3854631680,33,0327,R,327333405
2021-09-07 00:18:00,00,D88039EC8125,000E,15,42,0A,01,충전케이블 분리 (idle),09,3854631680,33,0327,R,327339732
2021-09-07 00:28:00,00,D88039EC8125,000E,15,43,0A,01,충전케이블 분리 (idle),09,3854631680,33,0327,R,327345945
2021-09-07 00:38:00,00,D88039EC8125,000E,15,44,0A,01,충전케이블 분리 (idle),09,3854631680,33,0327,R,327352157
2021-09-07 00:48:00,00,D88039EC8125,000E,15,45,0A,01,충전케이블 분리 (idle),09,3854631680,33,0327,R,327358276
2021-09-07 00:58:00,00,D88039EC8125,000E,15,46,0A,01,충전케이블 분리 (idle),09,3854631680,33,0327,R,327364442
2021-09-07 01:08:00,00,D88039EC8125,000E,15,47,0A,01,충전케이블 분리 (idle),09,3854631680,33,0327,R,327370510
2021-09-07 01:18:00,00,D88039EC8125,000E,15,48,0A,01,충전케이블 분리 (idle),09,3854631680,33,0327,R,327376597
2021-09-07 01:28:00,00,D88039EC8125,000E,15,49,0A,01,충전케이블 분리 (idle),09,3854631680,33,0327,R,327382660
2021-09-07 01:38:00,00,D88039EC8125,000E,15,4A,0A,01,충전케이블 분리 (idle),09,3854631680,33,0327,R,327388773
2021-09-07 01:48:00,00,D88039EC8125,000E,15,4B,0A,01,충전케이블 분리 (idle),09,3854631680,33,0327,R,327394876
2021-09-07 01:58:00,00,D88039EC8125,000E,15,4C,0A,01,충전케이블 분리 (idle),09,3854631680,33,0327,R,327400873
