RegDt,ServerId,ChargerId,Length,MessageType,SequenceNumber,DataLength,ChargeCurrent_type,ChargeCurrent,ChargeVoltage_type,ChargeVoltage,Temperature_type,Temperature,AccumulatedWatt_type,AccumulatedWatt,AccessId_type,AccessId,ElaspedTime_type,ElaspedTime,ChargerNumber_type,ChargerNumber,Send,msgId,InstantaneousPower
2021-09-07 08:36:00,00,D88039EC8125,001C,16,76,18,02,0.0,03,29.3,04,00,05,0.0,09,2009400064,0A,1,33,0327,R,327635623,0.00
2021-09-07 08:37:00,00,D88039EC8125,001C,16,77,18,02,60.0,03,40.0,04,00,05,16.01,09,2009400064,0A,31,33,0327,R,327635939,2.40
2021-09-07 08:38:00,00,D88039EC8125,001C,16,79,18,02,60.0,03,40.09,04,00,05,55.02,09,2009400064,0A,131,33,0327,R,327636493,2.41
2021-09-07 08:38:00,00,D88039EC8125,001C,16,7A,18,02,59.0,03,40.09,04,00,05,58.0,09,2009400064,0A,133,33,0327,R,327636523,2.37
2021-09-07 08:40:00,00,D88039EC8125,001C,16,7B,18,02,60.0,03,40.4,04,00,05,158.0,09,2009400064,0A,402,33,0327,R,327637857,2.42
2021-09-07 08:43:00,00,D88039EC8125,001C,16,7E,18,02,43.0,03,40.4,04,00,05,258.0,09,2009400064,0A,646,33,0327,R,327639480,1.74
2021-09-07 08:43:00,00,D88039EC8125,001C,16,7D,18,02,46.0,03,40.4,04,00,05,249.02,09,2009400064,0A,631,33,0327,R,327639333,1.86
2021-09-07 08:48:00,00,D88039EC8125,001C,16,80,18,02,25.0,03,40.4,04,00,05,362.01,09,2009400064,0A,1131,33,0327,R,327642376,1.01
2021-09-07 08:48:00,00,D88039EC8125,001C,16,7F,18,02,25.0,03,40.4,04,00,05,358.0,09,2009400064,0A,1117,33,0327,R,327642260,1.01
2021-09-07 08:53:00,00,D88039EC8125,001C,16,82,18,02,22.0,03,40.4,04,00,05,439.01,09,2009400064,0A,1631,33,0327,R,327645296,0.89
