RegDt,ServerId,ChargerId,Length,MessageType,SequenceNumber,DataLength,MessagePending_type,MessagePending,WakeupInterval_type,WakeupInterval,ChargerNumber_type,ChargerNumber,Send,msgId
2021-09-06 23:17:56,00,D88039EC8125,000B,1A,08,07,12,0,13,00,33,0327,S,327301572
2021-09-06 23:27:57,00,D88039EC8125,000B,1A,60,07,12,0,13,00,33,0327,S,327307878
2021-09-06 23:37:58,00,D88039EC8125,000B,1A,E4,07,12,0,13,00,33,0327,S,327314268
2021-09-06 23:47:59,00,D88039EC8125,000B,1A,6E,07,12,0,13,00,33,0327,S,327320670
2021-09-06 23:57:59,00,D88039EC8125,000B,1A,F3,07,12,0,13,00,33,0327,S,327327065
2021-09-07 00:08:00,00,D88039EC8125,000B,1A,61,07,12,0,13,00,33,0327,S,327333415
2021-09-07 00:18:01,00,D88039EC8125,000B,1A,C7,07,12,0,13,00,33,0327,S,327339749
2021-09-07 00:28:02,00,D88039EC8125,000B,1A,EE,07,12,0,13,00,33,0327,S,327345959
2021-09-07 00:38:03,00,D88039EC8125,000B,1A,13,07,12,0,13,00,33,0327,S,327352167
2021-09-07 00:48:04,00,D88039EC8125,000B,1A,0E,07,12,0,13,00,33,0327,S,327358286
2021-09-07 00:58:05,00,D88039EC8125,000B,1A,1C,07,12,0,13,00,33,0327,S,327364449
2021-09-07 01:08:05,00,D88039EC8125,000B,1A,F9,07,12,0,13,00,33,0327,S,327370517
2021-09-07 01:18:06,00,D88039EC8125,000B,1A,DF,07,12,0,13,00,33,0327,S,327376607
2021-09-07 01:28:07,00,D88039EC8125,000B,1A,BA,07,12,0,13,00,33,0327,S,327382670
2021-09-07 01:38:08,00,D88039EC8125,000B,1A,AE,07,12,0,13,00,33,0327,S,327388779
2021-09-07 01:48:09,00,D88039EC8125,000B,1A,A0,07,12,0,13,00,33,0327,S,327394887
2021-09-07 01:58:10,00,D88039EC8125,000B,1A,5B,07,12,0,13,00,33,0327,S,327400886
2021-09-07 02:08:10,00,D88039EC8125,000B,1A,21,07,12,0,13,00,33,0327,S,327406903
